learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,0.125,6.47593600054582E-6,500.0,44.0,37.63141950889197,37.07865168539326,34.883720930232556,500.0,2.0026032E8
1000.0,0.203125,1.0524691283030228E-5,1000.0,47.9,42.01233879485835,42.11111111111111,40.25229357798165,1000.0,2.00324408E8
1500.0,0.3125,1.6196973867610925E-5,1500.0,51.800000000000004,46.326242903817075,46.26532887402453,44.91428571428572,1500.0,2.00466664E8
2000.0,0.390625,2.0251545873988006E-5,2000.0,54.0,48.82406603920522,49.05869324473976,47.66780432309443,2000.0,2.00612208E8
2500.0,0.5,2.5932274519517604E-5,2500.0,56.89999999999999,52.097964663635466,52.58525852585259,51.463963963963955,2500.0,2.0076516E8
3000.0,0.65625,3.4053194912202244E-5,3000.0,57.49999999999999,52.715099014582655,53.14222712238147,51.594533029612755,3000.0,2.00903544E8
3500.0,0.84375,4.380592187064597E-5,3500.0,57.4,52.64698885981508,53.135313531353134,51.75537938844846,3500.0,2.01060688E8
4000.0,1.125,5.8444810403873116E-5,4000.0,59.3,54.76385509762448,54.62653288740245,53.85487528344671,4000.0,2.01195352E8
4500.0,1.359375,7.065256682431534E-5,4500.0,59.9,55.436670619208016,55.09518477043673,54.63800904977375,4500.0,2.01338552E8
5000.0,1.609375,8.368496770142682E-5,5000.0,60.4,55.97647186996606,56.43564356435643,55.10204081632652,5000.0,2.01505448E8
5500.0,1.9375,1.008011988273615E-4,5500.0,62.5,58.32629510761818,58.70044052863437,57.2405929304447,5500.0,2.01637448E8
6000.0,2.609375,1.3596209545438699E-4,6000.0,59.8,55.32285902583828,55.38290788013318,54.37003405221339,6000.0,2.02289728E8
6500.0,3.109375,1.621012922906731E-4,6500.0,56.8,51.96215685467773,52.63157894736842,51.020408163265294,6500.0,2.02080592E8
7000.0,3.6875,1.9231111299531124E-4,7000.0,59.599999999999994,55.06142902431021,56.182212581344906,54.19501133786848,7000.0,2.01989488E8
7500.0,4.25,2.217903130157437E-4,7500.0,62.2,57.96492406441375,58.95765472312704,57.384441939120634,7500.0,2.0257952E8
8000.0,4.953125,2.584601105708215E-4,8000.0,59.8,55.30025552241992,56.01750547045952,54.57627118644067,8000.0,2.01594344E8
8500.0,5.21875,2.7229493564745E-4,8500.0,59.3,54.73447375767262,55.66448801742919,53.959276018099544,8500.0,2.01329352E8
9000.0,5.578125,2.9101530953388045E-4,9000.0,62.6,58.41561260251552,58.536585365853654,58.30546265328874,9000.0,2.01358064E8
9500.0,5.9375,3.0974050375839906E-4,9500.0,61.7,57.42689486443856,57.30211817168339,57.158836689038026,9500.0,2.01409912E8
10000.0,6.359375,3.317327893778889E-4,10000.0,59.0,54.379714327996496,54.138702460850105,53.88076490438694,10000.0,2.01506448E8
