learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,2.46875,4.333940709734128E-6,500.0,74.4,48.76721101504963,50.95785440613027,46.21848739495798,500.0,6808008.0
1000.0,4.765625,1.1523005636667624E-5,1000.0,76.6,53.173215079025205,54.385964912280706,50.943396226415096,1000.0,1.2098664E7
1500.0,7.109375,2.1823622486812785E-5,1500.0,80.4,60.74645816894245,60.16260162601627,58.02997858672377,1500.0,1.6988472E7
2000.0,9.796875,3.6878081057996796E-5,2000.0,83.0,65.99020517909156,66.46942800788955,64.73029045643153,2000.0,2.1653048E7
2500.0,12.296875,5.391052222370894E-5,2500.0,84.7,69.37451960030745,70.63339731285988,68.3884297520661,2500.0,2.633536E7
3000.0,15.03125,7.581555740519738E-5,3000.0,84.8,69.6030396960304,70.71290944123314,69.04276985743381,3000.0,3.0966224E7
3500.0,17.90625,1.0215361101371754E-4,3500.0,85.7,71.39679644120142,72.44701348747591,71.285140562249,3500.0,3.5411816E7
4000.0,20.890625,1.327533361230356E-4,4000.0,86.5,73.00410337628679,74.08829174664108,72.04968944099379,4000.0,3.9633872E7
4500.0,23.859375,1.6632926569501352E-4,4500.0,87.1,74.15968911501943,75.0,74.30278884462152,4500.0,4.3717648E7
5000.0,27.1875,2.0780785316472044E-4,5000.0,86.5,72.98919567827132,73.21428571428571,74.08829174664108,5000.0,4.8175552E7
5500.0,30.734375,2.5606393991943656E-4,5500.0,83.89999999999999,67.68054730283126,67.20977596741344,67.92828685258964,5500.0,5.2590656E7
6000.0,34.3125,3.0883097283852595E-4,6000.0,85.1,70.1816318852413,69.08713692946058,69.46721311475409,6000.0,5.7004552E7
6500.0,38.25,3.712670396392544E-4,6500.0,87.0,73.90983238070773,73.46938775510205,74.609375,6500.0,6.1293912E7
7000.0,42.375,4.414633420916895E-4,7000.0,86.5,73.00323961124666,71.93347193347192,72.22222222222221,7000.0,6.5779816E7
7500.0,46.625,5.187438239550425E-4,7500.0,86.1,72.14920014105728,71.2215320910973,70.17167381974248,7500.0,7.0288336E7
8000.0,50.8125,5.997265892155055E-4,8000.0,86.4,72.7433060766394,73.01587301587301,72.46963562753037,8000.0,7.4754984E7
8500.0,55.234375,6.901367268356909E-4,8500.0,87.5,75.00299964004319,74.79838709677419,74.74747474747475,8500.0,7.9033832E7
9000.0,59.640625,7.848225681098282E-4,9000.0,88.2,76.3976397639764,75.46777546777547,75.86912065439672,9000.0,8.306504E7
9500.0,64.796875,9.010370123885675E-4,9500.0,87.6,75.2019838412927,75.87548638132296,74.53798767967146,9500.0,8.7122136E7
10000.0,69.859375,0.0010206057831399246,10000.0,87.2,74.39672278051592,74.4,73.6082474226804,10000.0,9.1296704E7
