learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,2.28125,3.4728756226185294E-6,500.0,74.8,49.57983193277311,47.5,43.99999999999999,500.0,5906720.0
1000.0,4.375,9.077978320419787E-6,1000.0,80.2,60.39825752333103,59.25925925925927,58.663883089770366,1000.0,1.0348112E7
1500.0,6.328125,1.6353842964033697E-5,1500.0,88.4,76.77919415796553,76.47058823529413,76.37474541751527,1500.0,1.4399816E7
2000.0,8.40625,2.6150771364983584E-5,2000.0,91.0,81.99740762669825,81.70731707317074,81.74442190669372,2000.0,1.8223032E7
2500.0,10.46875,3.774315222269959E-5,2500.0,91.7,83.39083173912,82.99180327868854,83.29979879275655,2500.0,2.1726064E7
3000.0,12.859375,5.353428847027115E-5,3000.0,91.4,82.80137588992882,83.23586744639377,82.48472505091651,3000.0,2.5533144E7
3500.0,15.546875,7.379589702597716E-5,3500.0,90.8,81.60000000000001,81.88976377952757,81.37651821862349,3500.0,2.9142568E7
4000.0,18.171875,9.566506859199662E-5,4000.0,92.10000000000001,84.19342446457728,83.0472103004292,83.50730688935283,4000.0,3.2203672E7
4500.0,20.828125,1.2001908988976438E-4,4500.0,92.5,84.9441125457699,84.43983402489627,83.97435897435899,4500.0,3.5440848E7
5000.0,23.4375,1.4582702379104578E-4,5000.0,93.2,86.39085465432773,86.06557377049181,86.06557377049181,5000.0,3.8231304E7
5500.0,26.109375,1.7440465699312174E-4,5500.0,93.8,87.59617962332398,87.16356107660455,87.42393509127788,5500.0,4.1344E7
6000.0,29.203125,2.0983394190099918E-4,6000.0,93.10000000000001,86.18707109854824,86.73076923076924,85.68464730290457,6000.0,4.4266944E7
6500.0,32.78125,2.536723727826029E-4,6500.0,92.30000000000001,84.59198783367353,85.16377649325626,84.02489626556017,6500.0,4.7358928E7
7000.0,36.234375,2.98699285938508E-4,7000.0,92.4,84.80091194528329,84.8906560636183,84.64646464646466,7000.0,5.040368E7
7500.0,39.859375,3.490508565058311E-4,7500.0,92.7,85.40175178978522,85.98848368522074,85.0715746421268,7500.0,5.3691728E7
8000.0,43.59375,4.040705608915434E-4,8000.0,92.80000000000001,85.58893230000642,86.04651162790698,84.93723849372385,8000.0,5.6951176E7
8500.0,47.140625,4.59234080335591E-4,8500.0,93.2,86.39346886505524,86.15071283095725,86.06557377049181,8500.0,6.0118544E7
9000.0,50.828125,5.194558869698085E-4,9000.0,93.10000000000001,86.19248871386034,85.625,85.83162217659138,9000.0,6.3128304E7
9500.0,54.609375,5.842902575710064E-4,9500.0,92.4,84.80291783977478,84.32989690721651,84.8303393213573,9500.0,6.627844E7
10000.0,58.265625,6.497359491509592E-4,10000.0,93.5,87.0007279592343,86.8421052631579,86.94779116465865,10000.0,6.9190672E7
