learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
500.0,0.078125,2.787661893914143E-9,500.0,81.39999999999999,62.72126731657259,64.36781609195401,60.92436974789914,500.0,137928.0,10.0,505.5,36.27748000558412,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.125,4.480631711582342E-9,1000.0,84.89999999999999,69.72443218272808,70.56530214424951,68.34381551362682,1000.0,139608.0,10.0,1008.1,38.417154732980656,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.171875,6.193974210570256E-9,1500.0,89.60000000000001,79.08849988136745,78.86178861788619,77.73019271948608,1500.0,141288.0,10.0,1498.0,33.542675968251395,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.3362025432288645E-9,2000.0,91.7,83.37006611901423,83.62919132149902,82.78008298755188,2000.0,141288.0,10.0,1993.6,47.25627530345103,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.25,9.049545042216778E-9,2500.0,91.0,81.9699980767998,82.72552783109406,81.40495867768595,2500.0,141288.0,10.0,2486.5,64.78039826984708,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.28125,1.0203996983667215E-8,3000.0,90.0,79.99159647051762,80.73217726396918,79.63340122199594,3000.0,142800.0,10.0,2985.8,64.72299951846071,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3500.0,0.359375,1.3964211878677211E-8,3500.0,89.9,79.80032319482889,80.53949903660886,79.71887550200803,3500.0,186048.0,10.0,3133.9,1101.5786096930774,10081.6,2357.7942234215434,2.5999999999999996,0.8432740427115678,1.7999999999999998,0.4216370213557839,1.7999999999999998,0.4216370213557839,0.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4375,1.8014818326466616E-8,4000.0,86.7,73.36356135192943,74.4721689059501,72.46376811594203,4000.0,200416.0,10.0,3235.5,1566.7779570400735,11679.2,4024.215501187778,3.2000000000000006,1.4757295747452437,2.1,0.7378647873726218,2.1,0.7378647873726218,1.1000000000000003,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
4500.0,0.5,2.119373271448745E-8,4500.0,87.6,75.18362118998539,75.96899224806202,75.2988047808765,4500.0,196608.0,10.0,3325.7,1872.2123603432979,11200.0,4565.848880547844,3.0,1.632993161855452,1.9999999999999998,0.816496580927726,1.9999999999999998,0.816496580927726,1.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.546875,2.3586067578030962E-8,5000.0,90.5,81.0,81.15079365079364,81.7658349328215,5000.0,197280.0,10.0,3824.8999999999996,1878.79804662449,11200.0,4565.848880547844,3.0,1.632993161855452,1.9999999999999998,0.816496580927726,1.9999999999999998,0.816496580927726,1.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
