learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
500.0,0.1875,1.2269786869486174E-8,500.0,61.8,57.47977506578391,57.078651685393254,55.581395348837205,500.0,252952.0,10.0,505.5,36.27748000558412,16912.0,84.58000814481957,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.265625,1.7417931101388403E-8,1000.0,68.0,64.39404223311666,64.44444444444444,63.30275229357799,1000.0,254720.0,10.0,1008.1,38.417154732980656,16920.8,80.57129348181853,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.34375,2.2600191490103803E-8,1500.0,74.4,71.51865639261533,71.46042363433668,70.74285714285715,1500.0,256408.0,10.0,1498.0,33.542675968251395,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.40625,2.6745999801076122E-8,2000.0,74.8,71.97003908622327,72.09302325581396,71.33105802047781,2000.0,256408.0,10.0,1993.6,47.25627530345103,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.46875,3.0891808112048444E-8,2500.0,74.1,71.21237045566706,71.5071507150715,70.83333333333334,2500.0,256408.0,10.0,2486.5,64.78039826984708,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.515625,3.40215370265974E-8,3000.0,73.0,69.95453119053501,70.23153252480705,69.24829157175398,3000.0,258088.0,10.0,2985.8,64.72299951846071,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3500.0,0.5625,3.715126594114635E-8,3500.0,71.6,68.41661597385252,68.75687568756875,67.83691959229897,3500.0,258088.0,10.0,3481.0,69.5317673201729,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.609375,4.02809948556953E-8,4000.0,71.7,68.54521042476192,68.45039018952063,67.91383219954649,4000.0,258088.0,10.0,3983.5000000000005,76.24995446264585,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4500.0,0.65625,4.3410723770244254E-8,4500.0,73.1,70.10386960397074,69.87681970884658,69.57013574660633,4500.0,258088.0,10.0,4484.1,70.89029082556608,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.703125,4.6540452684793206E-8,5000.0,72.0,68.86297596555355,69.1969196919692,68.25396825396825,5000.0,258088.0,10.0,4983.3,68.98478093028926,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5500.0,0.75,4.9690554280661874E-8,5500.0,73.3,70.31053842450147,70.59471365638767,69.55530216647662,5500.0,259768.0,10.0,5479.5,82.51094203531768,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.796875,5.284065587653054E-8,6000.0,72.2,69.084764460379,69.14539400665927,68.44494892167991,6000.0,259768.0,10.0,5975.299999999999,76.3355894863085,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6500.0,0.828125,5.494072360710965E-8,6500.0,70.0,66.59425042508815,67.10526315789474,65.98639455782312,6500.0,259768.0,10.0,6469.0,88.23579520554885,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.875,5.809082520297832E-8,7000.0,73.8,70.84256095796655,71.58351409978309,70.29478458049887,7000.0,259768.0,10.0,6979.2,85.94933908349084,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7500.0,0.921875,6.124092679884699E-8,7500.0,75.9,73.20093185141529,73.8327904451683,72.82976324689966,7500.0,259768.0,10.0,7475.800000000001,85.50087718848273,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.9375,6.229096066413654E-8,8000.0,74.5,71.64889997731912,72.10065645514223,71.1864406779661,8000.0,259768.0,10.0,7973.1,75.93630371714323,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8500.0,0.984375,6.54410622600052E-8,8500.0,73.2,70.20527233270482,70.80610021786492,69.68325791855203,8500.0,259768.0,10.0,8465.0,79.04007422398675,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.046875,6.964119772116342E-8,9000.0,73.7,70.75548696006068,70.84257206208426,70.68004459308807,9000.0,259768.0,10.0,8971.0,71.45939017683018,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9500.0,1.078125,7.174126545174254E-8,9500.0,74.5,71.6481434537231,71.57190635451505,71.47651006711409,9500.0,259768.0,10.0,9469.599999999999,67.21309396241173,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.125,7.48913670476112E-8,10000.0,74.3,71.40056019291825,71.25279642058166,71.09111361079866,10000.0,259768.0,10.0,9980.100000000002,62.197624106105835,16921.6,80.95430810031063,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
