learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
500.0,0.109375,5.174661055207253E-10,500.0,59.8,55.23325478736909,54.831460674157306,53.25581395348837,500.0,18288.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.140625,6.6667174299558E-10,1000.0,68.30000000000001,64.7307521139297,64.77777777777779,63.6467889908257,1000.0,18456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,0.140625,6.6667174299558E-10,1500.0,75.6,72.85305492138512,72.79821627647715,72.11428571428571,1500.0,18624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.15625,7.419536511103312E-10,2000.0,74.3,71.4111225194699,71.53931339977852,70.76222980659841,2000.0,18624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,0.171875,8.172355592250823E-10,2500.0,74.1,71.20846626721655,71.5071507150715,70.83333333333334,2500.0,18624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.171875,8.172355592250823E-10,3000.0,73.1,70.06257922565581,70.34178610804851,69.3621867881549,3000.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3500.0,0.1875,8.931965567171573E-10,3500.0,70.8,67.52188657797473,67.87678767876787,66.93091732729332,3500.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.1875,8.931965567171573E-10,4000.0,71.2,67.99231815635753,67.89297658862876,67.3469387755102,4000.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4500.0,0.203125,9.691575542092322E-10,4500.0,72.89999999999999,69.87811194671872,69.6528555431131,69.34389140271493,4500.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.203125,9.691575542092322E-10,5000.0,72.3,69.19370928870833,69.52695269526953,68.59410430839003,5000.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5500.0,0.21875,1.045797641078631E-9,5500.0,73.0,69.97477881420393,70.26431718061674,69.21322690992018,5500.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.234375,1.1224377279480297E-9,6000.0,72.0,68.84943150212492,68.92341842397336,68.21793416572078,6000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6500.0,0.234375,1.1224377279480297E-9,6500.0,70.39999999999999,67.03848590839594,67.54385964912281,66.43990929705214,6500.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.25,1.1990778148174285E-9,7000.0,74.3,71.39008560709793,72.12581344902385,70.86167800453515,7000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7500.0,0.25,1.1990778148174285E-9,7500.0,76.7,74.08323619181519,74.7014115092291,73.73167981961669,7500.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.25,1.1990778148174285E-9,8000.0,73.9,70.99081375768993,71.44420131291028,70.50847457627118,8000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8500.0,0.265625,1.2757179016868272E-9,8500.0,72.6,69.55467602397403,70.1525054466231,69.00452488687783,8500.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.265625,1.2757179016868272E-9,9000.0,73.8,70.8702134590732,70.95343680709534,70.79152731326644,9000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9500.0,0.265625,1.2757179016868272E-9,9500.0,74.8,71.97963853733714,71.90635451505017,71.81208053691275,9500.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.28125,1.352357988556226E-9,10000.0,75.3,72.51487757436563,72.37136465324386,72.21597300337457,10000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
