learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,1.4965836372640398E-10,1000.0,69.5,66.06397774687066,66.11111111111111,65.0229357798165,1000.0,18512.0
2000.0,0.046875,2.2448754558960596E-10,2000.0,74.5,71.63590738400755,71.76079734219269,70.98976109215018,2000.0,18512.0
3000.0,0.0625,2.9931672745280796E-10,3000.0,72.89999999999999,69.84211065163296,70.1212789415656,69.13439635535308,3000.0,18512.0
4000.0,0.0625,2.9931672745280796E-10,4000.0,71.8,68.65691548481749,68.56187290969899,68.02721088435374,4000.0,18512.0
5000.0,0.078125,3.7414590931600996E-10,5000.0,72.8,69.7555312907939,70.07700770077008,69.1609977324263,5000.0,18512.0
6000.0,0.078125,3.7414590931600996E-10,6000.0,72.5,69.41555913918701,69.47835738068812,68.78547105561861,6000.0,18512.0
7000.0,0.09375,4.4897509117921196E-10,7000.0,74.5,71.61677526496575,72.34273318872017,71.08843537414967,7000.0,18512.0
8000.0,0.09375,4.4897509117921196E-10,8000.0,73.7,70.77186719981151,71.2253829321663,70.28248587570621,8000.0,18512.0
9000.0,0.109375,5.238042730424139E-10,9000.0,73.4,70.42298467665984,70.50997782705099,70.34559643255295,9000.0,18512.0
10000.0,0.109375,5.238042730424139E-10,10000.0,75.1,72.29725820735446,72.14765100671141,71.9910011248594,10000.0,18512.0
11000.0,0.109375,5.238042730424139E-10,11000.0,75.0,72.20641075812017,72.34513274336283,71.8785151856018,11000.0,18512.0
12000.0,0.125,5.986334549056159E-10,12000.0,73.6,70.63655282028124,70.95709570957096,70.13574660633483,12000.0,18512.0
13000.0,0.125,5.986334549056159E-10,13000.0,73.5,70.54658862809345,70.42410714285714,70.1912260967379,13000.0,18512.0
14000.0,0.140625,6.734626367688179E-10,14000.0,71.1,67.87378956998677,67.853170189099,67.19636776390465,14000.0,18512.0
15000.0,0.140625,6.734626367688179E-10,15000.0,71.89999999999999,68.75100780779978,68.67335562987736,68.2844243792325,15000.0,18512.0
16000.0,0.140625,6.734626367688179E-10,16000.0,75.1,72.30838010696306,72.39467849223948,71.54285714285714,16000.0,18512.0
17000.0,0.15625,7.482918186320199E-10,17000.0,73.8,70.88034712404527,71.36612021857923,70.36199095022624,17000.0,18512.0
18000.0,0.15625,7.482918186320199E-10,18000.0,73.1,70.0900412068057,70.0445434298441,69.6045197740113,18000.0,18512.0
19000.0,0.171875,8.231210004952219E-10,19000.0,76.5,73.8755073432058,73.8015607580825,73.56580427446569,19000.0,18512.0
20000.0,0.171875,8.231210004952219E-10,20000.0,74.4,71.55691450297374,71.30044843049326,71.55555555555556,20000.0,18512.0
21000.0,0.1875,8.979501823584239E-10,21000.0,74.2,71.32540002734089,71.83406113537117,70.446735395189,21000.0,18512.0
22000.0,0.1875,8.979501823584239E-10,22000.0,75.0,72.21308341410064,72.43660418963617,71.68742921857304,22000.0,18512.0
23000.0,0.1875,8.979501823584239E-10,23000.0,74.9,72.09427465682072,72.3872387238724,71.8609865470852,23000.0,18512.0
24000.0,0.203125,9.72779364221626E-10,24000.0,70.19999999999999,66.86554750791113,66.66666666666666,66.17480136208853,24000.0,18512.0
25000.0,0.203125,9.72779364221626E-10,25000.0,71.2,67.97395214774683,67.96440489432702,67.38391845979615,25000.0,18512.0
26000.0,0.203125,9.72779364221626E-10,26000.0,73.1,70.10091220005046,69.7752808988764,69.57013574660633,26000.0,18512.0
27000.0,0.203125,9.72779364221626E-10,27000.0,72.5,69.4228025836064,69.74697469746974,68.24480369515011,27000.0,18512.0
28000.0,0.203125,9.72779364221626E-10,28000.0,76.0,73.29710640769311,73.15436241610739,73.00337457817773,28000.0,18512.0
29000.0,0.203125,9.72779364221626E-10,29000.0,74.2,71.3230733662488,71.33333333333334,70.68181818181817,29000.0,18512.0
30000.0,0.203125,9.72779364221626E-10,30000.0,74.1,71.21617761952233,71.38121546961325,70.83333333333334,30000.0,18512.0
31000.0,0.21875,1.0476085460848278E-9,31000.0,74.7,71.8446850444086,71.92008879023307,71.21729237770194,31000.0,18512.0
32000.0,0.21875,1.0476085460848278E-9,32000.0,71.89999999999999,68.72809018774274,68.60335195530726,68.24858757062147,32000.0,18512.0
33000.0,0.234375,1.1224377279480297E-9,33000.0,72.5,69.42603212156654,69.23937360178971,68.82086167800453,33000.0,18512.0
34000.0,0.234375,1.1224377279480297E-9,34000.0,74.0,71.10247396166187,70.81930415263749,70.35347776510832,34000.0,18512.0
35000.0,0.234375,1.1224377279480297E-9,35000.0,72.2,69.0971017972592,68.62302483069978,68.58757062146893,35000.0,18512.0
36000.0,0.25,1.1972669098112316E-9,36000.0,72.7,69.64771334989182,69.11764705882352,69.59910913140311,36000.0,18512.0
37000.0,0.25,1.1972669098112316E-9,37000.0,74.0,71.09225683862697,70.55492638731596,70.04608294930875,37000.0,18512.0
38000.0,0.265625,1.2720960916744335E-9,38000.0,74.2,71.32383833758288,71.71052631578947,70.54794520547945,38000.0,18512.0
39000.0,0.28125,1.3469252735376354E-9,39000.0,75.0,72.21104488694343,71.81510710259302,71.65532879818595,39000.0,18512.0
40000.0,0.28125,1.3469252735376354E-9,40000.0,75.4,72.65773486005429,72.8476821192053,72.32845894263217,40000.0,18512.0
41000.0,0.28125,1.3469252735376354E-9,41000.0,76.1,73.43582584571884,73.02483069977427,73.08558558558559,41000.0,18512.0
42000.0,0.296875,1.4217544554008373E-9,42000.0,76.8,74.20339069743135,74.50549450549451,73.99103139013454,42000.0,18512.0
43000.0,0.296875,1.4217544554008373E-9,43000.0,76.7,74.09119011506625,74.28256070640177,73.87892376681614,43000.0,18512.0
44000.0,0.3125,1.4965836372640392E-9,44000.0,74.5,71.65589590711136,71.54017857142857,71.38047138047138,44000.0,18512.0
45000.0,0.328125,1.5714128191272411E-9,45000.0,73.1,70.10945052502917,70.0445434298441,69.57013574660633,45000.0,18512.0
46000.0,0.328125,1.5714128191272411E-9,46000.0,74.4,71.53718122476843,71.30044843049326,70.87599544937429,46000.0,18512.0
47000.0,0.328125,1.5714128191272411E-9,47000.0,75.2,72.42682825138283,72.68722466960352,72.13483146067415,47000.0,18512.0
48000.0,0.34375,1.646242000990443E-9,48000.0,73.4,70.43202589532048,70.3125,69.17728852838934,48000.0,18512.0
49000.0,0.34375,1.646242000990443E-9,49000.0,72.5,69.43890949138566,69.68026460859977,69.23937360178971,49000.0,18512.0
50000.0,0.359375,1.721071182853645E-9,50000.0,72.1,68.95937126594586,68.89632107023411,68.18700114025084,50000.0,18512.0
