learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,3.705887744824092E-11,1000.0,69.3,38.605402724560236,36.8312757201646,35.908141962421695,1000.0,4584.0
2000.0,0.03125,3.705887744824092E-11,2000.0,69.8,39.576797490236245,38.617886178861774,38.74239350912778,2000.0,4584.0
3000.0,0.046875,5.558831617236138E-11,3000.0,69.6,39.20680883741019,40.74074074074073,38.08553971486761,3000.0,4584.0
4000.0,0.0625,7.411775489648184E-11,4000.0,71.1,42.18196077176078,37.98283261802574,39.66597077244258,4000.0,4584.0
5000.0,0.0625,7.411775489648184E-11,5000.0,72.8,45.47437295528898,44.26229508196721,44.26229508196721,5000.0,4584.0
6000.0,0.0625,7.411775489648184E-11,6000.0,72.6,45.15722263365425,47.30769230769231,43.153526970954346,6000.0,4584.0
7000.0,0.0625,7.411775489648184E-11,7000.0,69.6,39.17932096912949,39.56262425447315,38.585858585858574,7000.0,4584.0
8000.0,0.0625,7.411775489648184E-11,8000.0,70.8,41.502660426950435,43.410852713178286,38.91213389121338,8000.0,4584.0
9000.0,0.0625,7.411775489648184E-11,9000.0,74.0,47.911449464088946,45.83333333333333,46.61190965092402,9000.0,4584.0
10000.0,0.078125,9.26471936206023E-11,10000.0,73.4,46.79148663786206,46.15384615384615,46.5863453815261,10000.0,4584.0
11000.0,0.078125,9.26471936206023E-11,11000.0,72.8,45.5930359085963,44.71544715447154,43.685300207039326,11000.0,4584.0
12000.0,0.078125,9.26471936206023E-11,12000.0,72.39999999999999,44.828247937056226,42.97520661157024,42.73858921161825,12000.0,4584.0
13000.0,0.078125,9.26471936206023E-11,13000.0,75.0,49.949348740925814,48.559670781893004,48.875255623721884,13000.0,4584.0
14000.0,0.078125,9.26471936206023E-11,14000.0,72.39999999999999,44.83530540454109,45.98825831702544,41.15138592750532,14000.0,4584.0
