learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,6.1764795747068195E-12,1000.0,48.1,-3.851510349133179,-6.79012345679013,-8.35073068893529,1000.0,1528.0
2000.0,0.03125,1.2352959149413639E-11,2000.0,50.3,-0.5511090969417791,-1.0162601626016268,-0.811359026369169,2000.0,1528.0
3000.0,0.03125,1.2352959149413639E-11,3000.0,49.4,-1.560743761842064,1.3645224171539971,-3.0549898167006138,3000.0,1528.0
4000.0,0.046875,1.852943872412046E-11,4000.0,50.8,-0.9350856101854299,-5.5793991416309066,-2.7139874739039693,4000.0,1528.0
5000.0,0.046875,1.852943872412046E-11,5000.0,51.2,0.0,0.0,0.0,5000.0,1528.0
6000.0,0.046875,1.852943872412046E-11,6000.0,51.300000000000004,0.0,6.346153846153851,-1.03734439834025,6000.0,1528.0
7000.0,0.046875,1.852943872412046E-11,7000.0,50.5,0.0,1.5904572564612343,0.0,7000.0,1528.0
8000.0,0.046875,1.852943872412046E-11,8000.0,51.6,0.0,6.201550387596905,-1.2552301255230138,8000.0,1528.0
9000.0,0.046875,1.852943872412046E-11,9000.0,51.7,0.0,-0.6250000000000006,0.8213552361396311,9000.0,1528.0
10000.0,0.046875,1.852943872412046E-11,10000.0,50.2,0.0,-0.8097165991902842,0.0,10000.0,1528.0
11000.0,0.046875,1.852943872412046E-11,11000.0,50.4,0.0,-0.8130081300813016,-2.6915113871635636,11000.0,1528.0
12000.0,0.0625,2.4705918298827278E-11,12000.0,51.6,0.0,0.0,-0.41493775933609994,12000.0,1528.0
13000.0,0.0625,2.4705918298827278E-11,13000.0,51.1,0.0,-0.6172839506172845,0.0,13000.0,1528.0
14000.0,0.0625,2.4705918298827278E-11,14000.0,49.2,0.0,0.5870841487279849,-8.31556503198295,14000.0,1528.0
15000.0,0.0625,2.4705918298827278E-11,15000.0,46.9,0.0,-8.146639511201636,-13.219616204690842,15000.0,1528.0
16000.0,0.0625,2.4705918298827278E-11,16000.0,46.2,0.0,-8.686868686868683,-16.450216450216455,16000.0,1528.0
