learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.015625,5.982454038328594E-12,1000.0,51.4,2.7996111984448064,0.0,-1.4613778705636757,1000.0,1480.0
2000.0,0.015625,5.982454038328594E-12,2000.0,50.8,1.585828359283746,0.0,0.20283975659229225,2000.0,1480.0
3000.0,0.03125,1.1964908076657189E-11,3000.0,48.699999999999996,-2.6008208065664555,0.0,-4.4806517311609,3000.0,1480.0
4000.0,0.03125,1.1964908076657189E-11,4000.0,53.400000000000006,6.736954181026389,0.0,2.7139874739039693,4000.0,1480.0
5000.0,0.046875,1.7947362114985785E-11,5000.0,51.2,2.343750000000011,0.0,0.0,5000.0,1480.0
6000.0,0.046875,1.7947362114985785E-11,6000.0,48.0,-4.070351557652967,0.0,-7.883817427385899,6000.0,1480.0
7000.0,0.046875,1.7947362114985785E-11,7000.0,49.7,-0.612073448813848,0.0,-1.6161616161616175,7000.0,1480.0
8000.0,0.046875,1.7947362114985785E-11,8000.0,48.4,-3.305785123966936,0.0,-7.949790794979086,8000.0,1480.0
9000.0,0.046875,1.7947362114985785E-11,9000.0,52.0,3.8888955632711513,0.0,1.4373716632443545,9000.0,1480.0
10000.0,0.046875,1.7947362114985785E-11,10000.0,50.6,1.1984191747067947,0.0,0.8032128514056233,10000.0,1480.0
11000.0,0.046875,1.7947362114985785E-11,11000.0,50.8,1.5937019969277983,0.0,-1.8633540372670825,11000.0,1480.0
12000.0,0.046875,1.7947362114985785E-11,12000.0,51.6,3.1007751937984604,0.0,-0.41493775933609994,12000.0,1480.0
13000.0,0.046875,1.7947362114985785E-11,13000.0,51.4,2.7529324192909463,0.0,0.613496932515338,13000.0,1480.0
14000.0,0.046875,1.7947362114985785E-11,14000.0,48.9,-2.2294420793188525,0.0,-8.955223880597023,14000.0,1480.0
15000.0,0.046875,1.7947362114985785E-11,15000.0,50.9,1.433331995021487,0.0,-4.690831556503203,15000.0,1480.0
16000.0,0.046875,1.7947362114985785E-11,16000.0,50.5,0.40962827642261873,0.0,-7.1428571428571495,16000.0,1480.0
17000.0,0.046875,1.7947362114985785E-11,17000.0,47.9,-4.223346029510614,0.0,-2.357563850687625,17000.0,1480.0
18000.0,0.046875,1.7947362114985785E-11,18000.0,50.5,0.916770086872979,0.0,-0.4056795131845845,18000.0,1480.0
19000.0,0.046875,1.7947362114985785E-11,19000.0,52.0,3.9811803113410185,0.0,1.0309278350515474,19000.0,1480.0
20000.0,0.046875,1.7947362114985785E-11,20000.0,51.300000000000004,2.304569016706531,0.0,-6.3318777292576485,20000.0,1480.0
21000.0,0.046875,1.7947362114985785E-11,21000.0,51.4,2.78094506523278,0.0,-0.4132231404958681,21000.0,1480.0
22000.0,0.046875,1.7947362114985785E-11,22000.0,50.2,0.3677191410016858,0.0,-8.026030368763564,22000.0,1480.0
23000.0,0.0625,2.3929816153314378E-11,23000.0,48.6,-2.8926033430087,0.0,1.1538461538461549,23000.0,1480.0
24000.0,0.0625,2.3929816153314378E-11,24000.0,48.9,-2.3113147104049205,0.0,-3.232323232323235,24000.0,1480.0
25000.0,0.0625,2.3929816153314378E-11,25000.0,48.5,-3.1262265012375066,0.0,-8.193277310924376,25000.0,1480.0
26000.0,0.0625,2.3929816153314378E-11,26000.0,46.5,-7.0085606848547926,0.0,-8.519269776876264,26000.0,1480.0
27000.0,0.0625,2.3929816153314378E-11,27000.0,49.6,-0.8258114077203806,0.0,-3.2786885245901667,27000.0,1480.0
28000.0,0.0625,2.3929816153314378E-11,28000.0,51.800000000000004,2.7406160837157088,0.0,-4.782608695652178,28000.0,1480.0
29000.0,0.0625,2.3929816153314378E-11,29000.0,49.1,-1.8024432586382113,0.0,-2.208835341365464,29000.0,1480.0
30000.0,0.0625,2.3929816153314378E-11,30000.0,48.699999999999996,-2.654201418348899,0.0,-4.4806517311609,30000.0,1480.0
31000.0,0.0625,2.3929816153314378E-11,31000.0,50.5,0.9881185742289184,0.0,0.2016129032258066,31000.0,1480.0
32000.0,0.078125,2.991227019164297E-11,32000.0,48.8,-2.4409763905562203,0.0,-5.133470225872695,32000.0,1480.0
33000.0,0.078125,2.991227019164297E-11,33000.0,48.1,-3.8456921045259946,0.0,-5.060728744939276,33000.0,1480.0
34000.0,0.078125,2.991227019164297E-11,34000.0,52.0,3.9246769467262475,0.0,-1.9108280254777086,34000.0,1480.0
35000.0,0.078125,2.991227019164297E-11,35000.0,49.7,-1.000771059564349,0.0,-3.0737704918032813,35000.0,1480.0
36000.0,0.078125,2.991227019164297E-11,36000.0,50.3,0.38003912639107323,0.0,-4.192872117400423,36000.0,1480.0
37000.0,0.078125,2.991227019164297E-11,37000.0,51.6,2.8954802259887007,0.0,-3.1982942430703654,37000.0,1480.0
38000.0,0.078125,2.991227019164297E-11,38000.0,50.4,0.7328954373156361,0.0,4.0618955512572565,38000.0,1480.0
39000.0,0.078125,2.991227019164297E-11,39000.0,48.699999999999996,-2.61723969626897,0.0,-4.907975460122704,39000.0,1480.0
40000.0,0.078125,2.991227019164297E-11,40000.0,48.0,-4.000416001663999,0.0,-5.263157894736847,40000.0,1480.0
41000.0,0.078125,2.991227019164297E-11,41000.0,51.6,3.1531261130387205,0.0,-3.8626609442060125,41000.0,1480.0
