learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.171875,8.906333920701097E-6,1000.0,75.4,50.89447902236098,52.046783625730995,48.42767295597484,1000.0,2.00303544E8
2000.0,0.28125,1.4574559398978534E-5,2000.0,85.39999999999999,70.76210769156826,71.20315581854044,69.70954356846472,2000.0,2.0032328E8
3000.0,0.421875,2.186500664619315E-5,3000.0,84.8,69.60060798784023,70.71290944123314,69.04276985743381,3000.0,2.00398288E8
4000.0,0.78125,4.050510825537559E-5,4000.0,86.1,72.14071544246156,73.32053742802303,71.2215320910973,4000.0,2.00494648E8
5000.0,1.0,5.185329795090689E-5,5000.0,86.1,72.21889115401527,72.42063492063492,73.32053742802303,5000.0,2.00530712E8
6000.0,1.125,5.8337271006570924E-5,6000.0,85.0,70.00527907088352,68.87966804979253,69.26229508196721,6000.0,2.00508856E8
7000.0,1.34375,6.968769988614238E-5,7000.0,86.6,73.18873927049361,72.14137214137214,72.42798353909464,7000.0,2.0057028E8
8000.0,1.703125,8.83490434110475E-5,8000.0,87.7,75.39015606242498,75.59523809523809,75.10121457489879,8000.0,2.00723128E8
9000.0,2.015625,1.0458071855181414E-4,9000.0,89.4,78.80025439694724,77.96257796257797,78.32310838445808,9000.0,2.007778E8
10000.0,2.375,1.232533784544406E-4,10000.0,87.0,73.99875194009311,74.0,73.19587628865979,10000.0,2.00844848E8
11000.0,2.9375,1.5249742068893586E-4,11000.0,87.4,74.80644954891548,74.59677419354838,73.58490566037736,11000.0,2.00963528E8
12000.0,3.609375,1.8755029366325794E-4,12000.0,87.2,74.39334226898994,75.80340264650283,72.53218884120172,12000.0,2.0166824E8
13000.0,4.15625,2.1608052028265472E-4,13000.0,86.6,73.21285782824243,73.62204724409449,72.14137214137214,13000.0,2.01659888E8
14000.0,4.734375,2.4629684870079575E-4,14000.0,87.0,73.99791983358669,73.89558232931726,74.20634920634922,14000.0,2.02033E8
15000.0,5.25,2.732264410264583E-4,15000.0,87.3,74.56418637441517,75.3875968992248,74.49799196787149,15000.0,2.01882272E8
16000.0,5.828125,3.034215401081989E-4,16000.0,87.2,74.39180537772087,74.95107632093934,73.71663244353182,16000.0,2.01891056E8
17000.0,6.4375,3.3518821777154997E-4,17000.0,85.5,70.96585584647545,70.82494969818913,70.52845528455283,17000.0,2.0150672E8
18000.0,6.78125,3.530984393243367E-4,18000.0,86.3,72.59408032134941,72.37903225806451,72.0408163265306,18000.0,2.01400536E8
