learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.09375,4.859484809761246E-6,1000.0,90.2,80.40070557459931,79.83539094650206,79.54070981210857,1000.0,2.00364752E8
2000.0,0.25,1.2966186041012407E-5,2000.0,94.89999999999999,89.79926554711938,89.6341463414634,89.6551724137931,2000.0,2.00551776E8
3000.0,0.4375,2.2703141827757162E-5,3000.0,95.7,91.39938075541438,91.61793372319687,91.24236252545825,3000.0,2.00735552E8
4000.0,0.75,3.8944790527845426E-5,4000.0,95.19999999999999,90.39250615480073,89.69957081545064,89.97912317327766,4000.0,2.00901168E8
5000.0,1.15625,6.007878459058702E-5,5000.0,95.19999999999999,90.3972344035082,90.1639344262295,90.1639344262295,5000.0,2.01090048E8
6000.0,1.953125,1.0167608105499917E-4,6000.0,95.5,90.99063025546567,91.34615384615384,90.66390041493774,6000.0,2.01779608E8
7000.0,2.65625,1.3837256536741428E-4,7000.0,94.0,87.99735941907218,88.07157057654075,87.87878787878786,7000.0,2.01741056E8
8000.0,3.484375,1.8159561305462068E-4,8000.0,94.69999999999999,89.3789277927408,89.72868217054263,88.91213389121337,8000.0,2.01753864E8
9000.0,4.171875,2.174757420369941E-4,9000.0,94.8,89.58370892075204,89.16666666666666,89.32238193018479,9000.0,2.0173612E8
10000.0,4.921875,2.566173175323961E-4,10000.0,94.89999999999999,89.79959198367933,89.67611336032387,89.7590361445783,10000.0,2.01734144E8
11000.0,5.96875,3.11235091713671E-4,11000.0,94.6,89.1961970613656,89.02439024390243,88.81987577639751,11000.0,2.01670112E8
12000.0,6.71875,3.503861666993341E-4,12000.0,96.0,91.99282557171225,91.73553719008264,91.70124481327801,12000.0,2.01783104E8
13000.0,7.40625,3.8629071185520533E-4,13000.0,94.69999999999999,89.39533394693665,89.09465020576131,89.16155419222903,13000.0,2.018734E8
14000.0,8.125,4.2380919194935505E-4,14000.0,94.8,89.6013310296282,89.8238747553816,88.91257995735606,14000.0,2.01776112E8
15000.0,8.90625,4.645876795984804E-4,15000.0,95.1,90.18051814800565,90.020366598778,89.55223880597015,15000.0,2.01763896E8
16000.0,9.65625,5.037316734281678E-4,16000.0,94.3,88.58438343654117,88.48484848484847,87.66233766233765,16000.0,2.01746608E8
17000.0,10.359375,5.404281417334762E-4,17000.0,95.1,90.19780430816502,90.59500959692897,90.37328094302553,17000.0,2.01740968E8
18000.0,11.140625,5.812027747419456E-4,18000.0,94.8,89.59300650036823,89.49494949494948,89.4523326572008,18000.0,2.01744824E8
