learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.953125,2.4751279852353036E-6,1000.0,57.199999999999996,52.361871688704866,52.444444444444436,50.917431192660544,1000.0,3262336.0
2000.0,5.828125,7.90175318899047E-6,2000.0,65.2,61.3060325896605,61.461794019933556,60.40955631399317,2000.0,7296160.0
3000.0,8.609375,1.5965023485478015E-5,3000.0,71.89999999999999,68.72694168409315,69.01874310915105,67.99544419134395,3000.0,1.1206592E7
4000.0,11.546875,2.6882596850757386E-5,4000.0,72.0,68.88885432094925,68.78483835005575,68.25396825396825,4000.0,1.4366488E7
5000.0,14.234375,3.8662645286725214E-5,5000.0,72.89999999999999,69.8558643135702,70.18701870187019,69.27437641723357,5000.0,1.6943416E7
6000.0,17.0625,5.2313195159917495E-5,6000.0,70.8,67.53084291933304,67.59156492785793,66.85584562996596,6000.0,1.865752E7
7000.0,20.265625,6.876824963708512E-5,7000.0,72.3,69.18150756944452,69.95661605206074,68.59410430839003,7000.0,1.9857648E7
8000.0,23.328125,8.72291893271419E-5,8000.0,73.6,70.63557300118903,71.11597374179432,70.16949152542374,8000.0,2.3301296E7
9000.0,26.453125,1.0790400721210367E-4,9000.0,73.6,70.66529771389331,70.73170731707317,70.5685618729097,9000.0,2.5573728E7
10000.0,29.640625,1.3043698942055926E-4,10000.0,74.2,71.2703835515151,71.14093959731544,70.97862767154106,10000.0,2.7325672E7
11000.0,32.921875,1.552978335530497E-4,11000.0,75.6,72.87481393122877,73.00884955752213,72.55343082114736,11000.0,2.9287272E7
12000.0,36.171875,1.8128441093722357E-4,12000.0,72.7,69.63657313693126,69.96699669966998,69.11764705882352,12000.0,3.09078E7
13000.0,39.234375,2.070997799293966E-4,13000.0,74.1,71.18864098265644,71.09375,70.86614173228347,13000.0,3.2584016E7
14000.0,42.328125,2.34843566269976E-4,14000.0,71.39999999999999,68.19727475108252,68.18687430478309,67.53688989784335,14000.0,3.4664336E7
15000.0,45.421875,2.632449885843218E-4,15000.0,72.89999999999999,69.8679638637943,69.78818283166109,69.41309255079007,15000.0,3.5486016E7
16000.0,48.5625,2.9313753789109696E-4,16000.0,75.9,73.19386729073419,73.28159645232816,72.45714285714286,16000.0,3.6791648E7
