learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.546875,8.094398330690132E-6,1000.0,75.6,51.217756736547905,52.436647173489284,48.84696016771488,1000.0,8843568.0
2000.0,6.453125,1.9841755533383952E-5,2000.0,83.0,65.94114630080779,66.46942800788955,64.73029045643153,2000.0,1.5624624E7
3000.0,9.59375,3.815017792577338E-5,3000.0,84.5,69.01115598384581,70.13487475915221,68.43177189409369,3000.0,2.2533944E7
4000.0,12.859375,6.288763575462831E-5,4000.0,86.4,72.78966007082691,73.89635316698656,71.84265010351967,4000.0,2.9281352E7
5000.0,16.640625,9.808635145115355E-5,5000.0,86.0,71.99159747924378,72.22222222222221,73.12859884836853,5000.0,3.5982704E7
6000.0,20.703125,1.4265089593310323E-4,6000.0,85.8,71.56997789665887,70.53941908713692,70.90163934426229,6000.0,4.2403184E7
7000.0,25.28125,2.005026913118652E-4,7000.0,85.39999999999999,70.81575948987546,69.64656964656965,69.9588477366255,7000.0,4.8846288E7
8000.0,29.953125,2.675043115353522E-4,8000.0,86.8,73.54073123797306,73.80952380952381,73.27935222672065,8000.0,5.5436584E7
9000.0,34.71875,3.433987700716696E-4,9000.0,89.0,77.99903195740613,77.13097713097713,77.50511247443764,9000.0,6.1559144E7
10000.0,39.6875,4.303507138845614E-4,10000.0,87.7,75.39822867246441,75.4,74.63917525773196,10000.0,6.7644816E7
11000.0,44.65625,5.248207351218702E-4,11000.0,86.8,73.58647627585323,73.38709677419355,72.32704402515722,11000.0,7.3493552E7
12000.0,49.828125,6.312175584672433E-4,12000.0,88.1,76.20666213460231,77.50472589792061,74.46351931330472,12000.0,7.9521216E7
13000.0,55.28125,7.5212020931455E-4,13000.0,86.9,73.77104323172783,74.21259842519686,72.76507276507276,13000.0,8.5702352E7
