learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.125,5.968225498994192E-10,1000.0,68.30000000000001,64.7307521139297,64.77777777777779,63.6467889908257,1000.0,18456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.140625,6.721044580141703E-10,2000.0,74.3,71.4111225194699,71.53931339977852,70.76222980659841,2000.0,18624.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.171875,8.240264529983202E-10,3000.0,73.1,70.06257922565581,70.34178610804851,69.3621867881549,3000.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.1875,8.999874504903952E-10,4000.0,71.2,67.99231815635753,67.89297658862876,67.3469387755102,4000.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.203125,9.759484479824701E-10,5000.0,72.3,69.19370928870833,69.52695269526953,68.59410430839003,5000.0,18792.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.25,1.2058687085906664E-9,6000.0,72.0,68.84943150212492,68.92341842397336,68.21793416572078,6000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.265625,1.282508795460065E-9,7000.0,74.3,71.39008560709793,72.12581344902385,70.86167800453515,7000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.28125,1.3591488823294638E-9,8000.0,73.9,70.99081375768993,71.44420131291028,70.50847457627118,8000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.28125,1.3591488823294638E-9,9000.0,73.8,70.8702134590732,70.95343680709534,70.79152731326644,9000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.28125,1.3591488823294638E-9,10000.0,75.3,72.51487757436563,72.37136465324386,72.21597300337457,10000.0,18960.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.296875,1.4364680585761864E-9,11000.0,76.0,73.31293255288487,73.45132743362832,73.00337457817773,11000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.3125,1.5137872348229089E-9,12000.0,74.0,71.08286871288738,71.3971397139714,70.58823529411765,12000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.328125,1.5911064110696314E-9,13000.0,74.2,71.32033188378732,71.20535714285714,70.97862767154106,13000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.34375,1.668425587316354E-9,14000.0,71.1,67.86675265182681,67.853170189099,67.19636776390465,14000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.359375,1.7457447635630765E-9,15000.0,72.2,69.08899256801534,69.00780379041248,68.62302483069978,15000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.375,1.823063939809799E-9,16000.0,75.3,72.53547593685161,72.61640798226165,71.77142857142857,16000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.390625,1.9003831160565217E-9,17000.0,73.9,70.99838879937775,71.47540983606558,70.47511312217193,17000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.40625,1.9777022923032443E-9,18000.0,73.4,70.41920216362408,70.37861915367483,69.94350282485875,18000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.40625,1.9777022923032443E-9,19000.0,76.2,73.54315023266466,73.46711259754738,73.22834645669292,19000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.40625,1.9777022923032443E-9,20000.0,73.1,70.1138008690329,69.84304932735425,70.11111111111111,20000.0,19128.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.4375,2.133698823551337E-9,21000.0,73.7,70.77293907546917,71.2882096069869,69.87399770904925,21000.0,19296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.453125,2.2116970891753834E-9,22000.0,75.4,72.65463470593728,72.87761852260198,72.14043035107588,22000.0,19296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.46875,2.28969535479943E-9,23000.0,75.3,72.54338312207301,72.82728272827282,72.30941704035875,23000.0,19296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.484375,2.3676936204234765E-9,24000.0,70.6,67.31277670179246,67.11409395973153,66.62883087400681,24000.0,19296.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
