learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.03125,5.743155876795451E-11,1000.0,69.69999999999999,39.40678643991871,37.65432098765431,36.74321503131523,1000.0,7104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.046875,8.682642752925555E-11,2000.0,69.3,38.55723583614194,37.601626016260155,37.72819472616632,2000.0,7272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.09375,3.5244738683104513E-10,3000.0,70.7,41.396718216220094,42.884990253411296,40.32586558044805,3000.0,21904.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.125,5.431098139120473E-10,4000.0,71.2,42.29497685788134,38.19742489270385,39.87473903966596,4000.0,23584.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.140625,6.710696551534865E-10,5000.0,74.0,47.93502290858992,46.721311475409834,46.721311475409834,5000.0,31656.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6000.0,0.140625,6.710696551534865E-10,6000.0,77.2,54.392885290105255,56.15384615384615,52.69709543568465,6000.0,32664.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.140625,6.710696551534865E-10,7000.0,74.9,49.79397527703325,50.09940357852882,49.292929292929294,7000.0,33336.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.15625,8.071785689228111E-10,8000.0,75.5,50.996863799283155,52.51937984496124,48.74476987447699,8000.0,33672.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.1875,1.0834709327254031E-9,9000.0,77.5,54.97550667563155,53.125,53.798767967145785,9000.0,34176.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.203125,1.2732925824820995E-9,10000.0,76.4,52.801510351668746,52.226720647773284,52.610441767068274,10000.0,46960.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
11000.0,0.234375,1.7807340352899498E-9,11000.0,77.8,55.61136349094632,54.87804878048781,54.037267080745345,11000.0,62768.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
12000.0,0.234375,1.7807340352899498E-9,12000.0,81.3,62.511226584552205,61.36363636363635,61.20331950207467,12000.0,71512.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
13000.0,0.265625,2.3751636035740375E-9,13000.0,81.8,63.55349425867406,62.5514403292181,62.78118609406952,13000.0,73528.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
14000.0,0.265625,2.3751636035740375E-9,14000.0,80.7,61.448112755281414,62.23091976516635,58.84861407249468,14000.0,75040.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
15000.0,0.296875,3.030775890996059E-9,15000.0,78.9,57.758096031263015,57.02647657841141,55.01066098081024,15000.0,81096.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
