learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,2.9375,9.136907872743905E-5,1000.0,31.14530547842466,45.803419614161236,1000.0,1.20233016E8
2000.0,9.921875,4.55791812564712E-4,1000.0,27.694628643102753,41.76979446408514,2000.0,2.01688104E8
3000.0,22.625,7.144836573085437E-4,1000.0,26.88408571838308,39.23510638997198,3000.0,7.8718088E7
4000.0,28.515625,8.944355370153465E-4,1000.0,28.955570799642494,40.482731630186706,4000.0,1.1808572E8
5000.0,36.25,0.0012248740033505277,1000.0,37.38703842486083,51.38690051224838,5000.0,1.6514588E8
6000.0,44.84375,0.0017705912391344707,1000.0,33.87702706892792,57.6304562931138,6000.0,2.45463728E8
7000.0,60.765625,0.0027115515517006214,1000.0,31.636436744108757,50.10593258785475,7000.0,2.28443848E8
8000.0,72.625,0.003062567254075677,1000.0,41.453070035192766,153.87934327122778,8000.0,1.14410824E8
9000.0,81.625,0.0032258684835526057,1000.0,47.581555532611596,245.69771723941514,9000.0,7.0137344E7
10000.0,87.1875,0.0034040342789376154,1000.0,37.537419783326065,53.963209603440454,10000.0,1.23810272E8
11000.0,95.046875,0.0037646176754949716,1000.0,35.87089017432777,53.85422310504674,11000.0,1.77345464E8
12000.0,107.34375,0.004265824645828818,1000.0,41.69503787512165,255.51043420996973,12000.0,1.57552288E8
13000.0,117.25,0.004630378590308182,1000.0,98.54463505181651,583.0957149183112,13000.0,1.42250856E8
14000.0,125.421875,0.005055319579680347,1000.0,66.97197234605737,367.18125830349794,14000.0,2.0100612E8
15000.0,136.640625,0.005862354149188226,1000.0,41.65609904219182,160.18901026056494,15000.0,2.78067376E8
16000.0,151.109375,0.0066762698194037925,1000.0,64.20264296634262,194.1965773638192,16000.0,2.17445672E8
17000.0,160.96875,0.007425891488480072,1000.0,34.059156594143715,85.22845816005128,17000.0,2.93896976E8
18000.0,173.859375,0.008592119931126945,1000.0,44.736699176929086,127.38534648723001,18000.0,3.497132E8
19000.0,191.03125,0.010533223062294483,1000.0,28.164476647796096,43.509979956491144,19000.0,4.36951528E8
20000.0,212.609375,0.013136976733642062,1000.0,45.292239188586535,565.5741790059186,20000.0,4.6643224E8
21000.0,236.4375,0.016350266298524933,1000.0,30.968544138208994,61.053603567511864,21000.0,5.2126956E8
22000.0,261.109375,0.02013207668587307,1000.0,28.74218609142954,46.39503205393565,22000.0,5.9251584E8
23000.0,287.765625,0.024808779243095262,1000.0,29.207488924844228,52.54006895191629,23000.0,6.78177016E8
24000.0,336.03125,0.026082094237208368,1000.0,54.544386485367916,118.40269503531078,24000.0,1.01976544E8
25000.0,343.546875,0.026406011069128807,1000.0,60.900174969824924,118.13343134966713,25000.0,1.66598384E8
26000.0,352.828125,0.0269602379574725,1000.0,49.19897513449614,100.91736250490956,26000.0,2.30825344E8
27000.0,365.15625,0.027973011161795715,1000.0,40.249842819368105,72.31448391514613,27000.0,3.17553968E8
28000.0,379.6875,0.029442060620963783,1000.0,35.54767572480901,60.810728063076404,28000.0,3.90783136E8
29000.0,397.4375,0.03161213312052294,1000.0,31.736622959111898,60.283284423908746,29000.0,4.72583176E8
30000.0,418.703125,0.03463226709427545,1000.0,30.012765250346497,44.90051735361227,30000.0,5.48972296E8
31000.0,442.046875,0.03842750196083216,1000.0,26.53840603145941,38.037062409983676,31000.0,6.28449528E8
32000.0,467.171875,0.04302988332589545,1000.0,30.429578262641595,63.283231871108484,32000.0,7.08074416E8
