learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,3.15625,8.342185368140538E-6,200.0,82.5,71.85929648241206,-75.00000000000009,67.88990825688073,200.0,1.0243008E7
400.0,5.921875,1.6447174615071466E-5,400.0,81.5,70.43665854340617,-269.9999999999998,56.9767441860465,400.0,1.1328216E7
600.0,9.0,2.685076369541801E-5,600.0,84.5,76.60553920458833,-138.4615384615387,74.3801652892562,600.0,1.3061832E7
800.0,11.84375,3.8153759540162155E-5,800.0,82.5,75.72647201608987,-12.903225806451621,75.35211267605632,800.0,1.5364008E7
1000.0,15.921875,6.235504306257806E-5,1000.0,87.0,77.72256019192871,-36.84210526315794,67.90123456790124,1000.0,2.2939304E7
1200.0,19.28125,8.862929434851847E-5,1200.0,86.5,80.62224136074927,-92.857142857143,73.26732673267327,1200.0,3.0232512E7
1400.0,24.28125,1.308598784897994E-4,1400.0,85.0,79.77005293502815,-130.769230769231,77.77777777777776,1400.0,3.2648216E7
1600.0,29.046875,1.809141386507286E-4,1600.0,84.0,76.72219393322179,-113.33333333333351,75.1937984496124,1600.0,4.0599768E7
1800.0,34.234375,2.411141932114131E-4,1800.0,83.0,64.4593111378247,-277.77777777777754,66.99029126213591,1800.0,4.4858128E7
2000.0,38.796875,3.0474438978773027E-4,2000.0,83.0,73.56040281503945,-161.5384615384618,65.99999999999999,2000.0,5.3909184E7
2200.0,43.625,3.7487487392758744E-4,2200.0,89.5,84.61820179454313,-61.53846153846164,77.41935483870968,2200.0,5.6147536E7
2400.0,50.40625,4.964633052521902E-4,2400.0,81.5,76.03937313819453,-236.36363636363615,72.79411764705883,2400.0,6.930824E7
2600.0,56.1875,6.056749061422628E-4,2600.0,90.0,86.77991869649999,-33.33333333333338,84.73282442748092,2600.0,7.3021272E7
2800.0,60.78125,7.02483290935763E-4,2800.0,89.5,84.10235058102124,-133.3333333333331,83.59375,2800.0,8.1460672E7
3000.0,66.515625,8.107025813013832E-4,3000.0,90.5,87.4839432166266,-137.49999999999974,89.38547486033521,3000.0,7.2949272E7
3200.0,71.828125,9.172099205574744E-4,3200.0,80.5,70.37599696164072,-143.75000000000006,74.83870967741936,3200.0,7.7496656E7
3400.0,78.09375,0.001004819219556844,3400.0,78.5,70.9439827015339,-152.94117647058832,65.3225806451613,3400.0,5.4049064E7
3600.0,83.328125,0.0010835923546174955,3600.0,78.0,67.48808512210441,-158.82352941176478,56.43564356435644,3600.0,5.8172224E7
3800.0,87.71875,0.0011504039936375597,3800.0,85.5,78.9381944948798,-107.14285714285732,74.33628318584071,3800.0,5.8820424E7
4000.0,92.109375,0.0012166884128883896,4000.0,87.0,78.25541523793594,-271.4285714285711,77.77777777777779,4000.0,5.8356264E7
4200.0,96.703125,0.0012842728192400603,4200.0,76.5,69.00656137690001,-261.53846153846183,69.87179487179488,4200.0,5.6869776E7
4400.0,101.828125,0.0013641364528383646,4400.0,87.0,83.02428832593365,-73.33333333333344,81.56028368794324,4400.0,6.02362E7
4600.0,107.203125,0.0014301543644008538,4600.0,78.5,69.98150022688402,-138.8888888888889,71.14093959731545,4600.0,4.7477264E7
4800.0,111.59375,0.0014903971740406834,4800.0,83.5,76.63303239511417,-94.11764705882365,69.99999999999999,4800.0,5.303728E7
5000.0,115.9375,0.0015573796283246742,5000.0,96.0,90.38461538461537,-300.0,86.66666666666666,5000.0,5.9607184E7
5200.0,121.25,0.001633256894743277,5200.0,81.5,73.24463084821751,-146.66666666666688,72.18045112781954,5200.0,5.5209664E7
5400.0,125.4375,0.0016993955500786088,5400.0,86.0,78.00384932636788,-100.00000000000016,79.41176470588238,5400.0,6.1052424E7
99999999,4800.0,5.303728E7
5000.0,113.8125,0.001530155145414432,5000.0,96.0,90.38461538461537,-300.0,86.66666666666666,5000.0,5.9607184E7
5200.0,119.140625,0.001606259527971916,5200.0,81.5,73.24463084821751,-146.66666666666688,72.18045112781954,5200.0,5.5212528E7
5400.0,123.40625,0.0016736352739260632,5400.0,86.0,78.00384932636788,-100.00000000000016,79.41176470588238,5400.0,6.1055288E7
