learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,3.96875,8.712741093606584E-6,200.0,82.0,71.19884795391815,-80.0000000000001,66.97247706422019,200.0,8512312.0
400.0,6.3125,1.4100112344345283E-5,400.0,78.0,61.820469434682636,-339.99999999999955,48.8372093023256,400.0,8885216.0
600.0,10.8125,2.602227995844765E-5,600.0,82.0,71.97789367167431,-176.92307692307722,70.24793388429751,600.0,1.0241064E7
800.0,15.25,3.8117719361455076E-5,800.0,76.0,66.74518497990856,-54.83870967741932,66.19718309859157,800.0,1.0533376E7
1000.0,21.546875,6.026241478846512E-5,1000.0,86.5,76.73416630762603,-42.10526315789478,66.66666666666666,1000.0,1.3593992E7
1200.0,24.78125,7.283384462223492E-5,1200.0,83.5,76.04790419161677,-135.71428571428592,67.32673267326732,1200.0,1.502152E7
1400.0,27.953125,8.549542599616366E-5,1400.0,83.0,77.28866771316922,-161.5384615384618,74.8148148148148,1400.0,1.5430296E7
1600.0,30.625,9.813032313508706E-5,1600.0,83.0,75.26013243105581,-126.66666666666686,73.64341085271317,1600.0,1.8279232E7
1800.0,33.53125,1.1287559082524644E-4,1800.0,87.5,75.17501613623952,-177.77777777777752,75.72815533980582,1800.0,1.9612008E7
2000.0,36.5,1.3151313896135738E-4,2000.0,81.5,71.97182031664268,-184.61538461538493,62.999999999999986,2000.0,2.426708E7
2200.0,39.375,1.5041856890699517E-4,2200.0,87.0,80.83514539490658,-100.00000000000017,72.04301075268818,2200.0,2.5418568E7
2400.0,42.5,1.747837460263529E-4,2400.0,86.0,81.92790525058895,-154.54545454545433,79.41176470588238,2400.0,3.013852E7
2600.0,45.796875,2.0299131881781958E-4,2600.0,86.5,82.04727550782937,-80.00000000000011,79.38931297709924,2600.0,3.3072392E7
2800.0,49.0,2.317912671262295E-4,2800.0,94.0,90.9128772102533,-33.33333333333333,90.62499999999999,2800.0,3.4755232E7
3000.0,52.640625,2.6082458113604743E-4,3000.0,91.0,88.16101026045777,-124.99999999999973,89.94413407821229,3000.0,3.0826416E7
3200.0,56.125,2.8951613219558366E-4,3200.0,87.5,81.12424025067008,-56.25000000000008,83.87096774193549,3200.0,3.1829624E7
3400.0,59.921875,3.1568447056795574E-4,3400.0,81.5,75.17694810640366,-117.64705882352958,70.16129032258064,3400.0,2.6641104E7
3600.0,63.421875,3.3960075977827525E-4,3600.0,71.5,56.37365581110559,-235.294117647059,43.56435643564356,3600.0,2.6413632E7
3800.0,66.640625,3.624460965834765E-4,3800.0,86.0,79.5239314051702,-100.00000000000016,75.2212389380531,3800.0,2.7435488E7
4000.0,69.75,3.8414143174628006E-4,4000.0,89.0,81.70858449386822,-214.28571428571396,81.1965811965812,4000.0,2.6970912E7
4200.0,73.046875,4.0796300412492003E-4,4200.0,82.5,77.24687144482365,-169.2307692307695,77.56410256410255,4200.0,2.792996E7
4400.0,76.84375,4.323243325214006E-4,4400.0,83.5,78.39819330343992,-120.00000000000017,76.59574468085107,4400.0,2.4801448E7
4600.0,80.359375,4.505501625115156E-4,4600.0,76.5,67.16616018722276,-161.11111111111117,68.45637583892618,4600.0,2.0039512E7
4800.0,83.609375,4.702684220844984E-4,4800.0,82.0,74.4009101898599,-111.76470588235307,67.27272727272727,4800.0,2.3449552E7
5000.0,86.484375,4.899871258466092E-4,5000.0,98.5,96.37681159420289,-50.0,95.0,5000.0,2.6512024E7
5200.0,89.9375,5.173774986825367E-4,5200.0,81.0,72.40177209673905,-153.3333333333334,71.42857142857143,5200.0,3.066112E7
5400.0,93.03125,5.426677092974489E-4,5400.0,86.5,78.67972204674668,-92.857142857143,80.1470588235294,5400.0,3.1598728E7
