learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,2.015625,2.2903848245429495E-6,200.0,79.5,67.28375359080754,-105.0,62.385321100917444,200.0,4418696.0
400.0,3.71875,4.4268102566194204E-6,400.0,79.5,66.98872785829309,-309.99999999999955,52.325581395348856,400.0,4848904.0
600.0,5.8125,8.671926528525849E-6,600.0,83.5,75.60795328553476,-153.8461538461541,72.72727272727272,600.0,7837312.0
800.0,9.4375,1.8790208980337614E-5,800.0,84.5,78.73070325900514,0.0,78.16901408450704,800.0,1.0789496E7
1000.0,12.734375,3.0469581866378175E-5,1000.0,89.5,82.14133854919636,-10.526315789473696,74.07407407407408,1000.0,1.3693656E7
1200.0,16.59375,4.591499510247054E-5,1200.0,80.0,70.70026369762672,-185.71428571428586,60.3960396039604,1200.0,1.5469808E7
1400.0,20.03125,6.156017761289453E-5,1400.0,88.5,84.54145243136068,-76.92307692307705,82.96296296296296,1400.0,1.7593016E7
1600.0,23.5,8.210840683508044E-5,1600.0,82.5,74.34675852970278,-133.3333333333335,72.86821705426357,1600.0,2.2898328E7
1800.0,27.71875,1.1159206556233888E-4,1800.0,90.0,79.69955339017459,-122.22222222222197,80.58252427184468,1800.0,2.7014688E7
2000.0,32.328125,1.4749370728774617E-4,2000.0,85.0,77.05193911114509,-130.769230769231,70.0,2000.0,3.0107496E7
2200.0,36.234375,1.7658504735057552E-4,2200.0,87.0,80.87743169197955,-100.00000000000017,72.04301075268818,2200.0,2.878764E7
2400.0,40.171875,2.107234353510042E-4,2400.0,84.0,79.20051998700032,-190.9090909090907,76.47058823529413,2400.0,3.3513888E7
2600.0,44.203125,2.4604820432917523E-4,2600.0,89.5,86.24439131431566,-40.00000000000006,83.96946564885496,2600.0,3.3872088E7
2800.0,47.609375,2.7978930480053856E-4,2800.0,91.0,86.5006749662517,-99.99999999999976,85.9375,2800.0,3.8287112E7
3000.0,51.921875,3.18832579586241E-4,3000.0,90.5,87.33164421922923,-137.49999999999974,89.38547486033521,3000.0,3.4993224E7
3200.0,56.15625,3.5750385719843003E-4,3200.0,82.0,72.5012412634152,-125.00000000000017,76.77419354838709,3200.0,3.529932E7
3400.0,63.28125,4.198942864766448E-4,3400.0,80.0,73.00215982721383,-135.29411764705887,67.74193548387098,3400.0,3.3848192E7
3600.0,68.390625,4.602617625561025E-4,3600.0,71.0,56.38113860269234,-241.17647058823545,42.574257425742566,3600.0,3.05398E7
3800.0,72.296875,4.94141434578018E-4,3800.0,83.5,75.8029036515618,-135.71428571428592,70.79646017699115,3800.0,3.3525984E7
4000.0,76.140625,5.280434503866773E-4,4000.0,87.5,79.21084362396574,-257.1428571428568,78.63247863247864,4000.0,3.4093592E7
4200.0,80.171875,5.644631091531159E-4,4200.0,80.5,74.3901237810684,-200.00000000000017,75.00000000000001,4200.0,3.4921952E7
4400.0,84.265625,6.035168008464906E-4,4400.0,85.5,80.92795370096346,-93.33333333333347,79.43262411347519,4400.0,3.6875944E7
4600.0,90.015625,6.297450212554799E-4,4600.0,76.5,67.04876082307989,-161.11111111111117,68.45637583892618,4600.0,1.7632072E7
4800.0,93.40625,6.477599898223868E-4,4800.0,81.5,73.35253871083903,-117.64705882352958,66.36363636363635,4800.0,2.0537904E7
5000.0,95.46875,6.605016596020303E-4,5000.0,97.0,92.6470588235294,-200.0,89.99999999999999,5000.0,2.3880024E7
5200.0,97.71875,6.74366514884039E-4,5200.0,83.5,76.04442669957533,-120.00000000000017,75.18796992481201,5200.0,2.381964E7
5400.0,99.8125,6.889053655969393E-4,5400.0,84.5,75.18113766462513,-121.42857142857162,77.20588235294117,5400.0,2.6841552E7
