learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,2.59375,4.866154954975678E-6,200.0,79.5,67.28375359080754,-105.0,62.385321100917444,200.0,7278344.0
400.0,4.875,9.415451204404233E-6,400.0,79.5,66.98872785829309,-309.99999999999955,52.325581395348856,400.0,7708568.0
600.0,7.171875,1.5771628629105783E-5,600.0,83.5,75.60795328553476,-153.8461538461541,72.72727272727272,600.0,1.0696976E7
800.0,9.609375,2.4378556796970465E-5,800.0,84.5,78.73070325900514,0.0,78.16901408450704,800.0,1.364916E7
1000.0,11.640625,3.3078588441842126E-5,1000.0,89.5,82.14133854919636,-10.526315789473696,74.07407407407408,1000.0,1.6556168E7
1200.0,14.0,4.426638492279582E-5,1200.0,80.0,70.70026369762672,-185.71428571428586,60.3960396039604,1200.0,1.8329472E7
1400.0,16.40625,5.699814950478159E-5,1400.0,88.5,84.54145243136068,-76.92307692307705,82.96296296296296,1400.0,2.045268E7
1600.0,18.953125,7.396764661987415E-5,1600.0,82.5,74.34675852970278,-133.3333333333335,72.86821705426357,1600.0,2.5755128E7
1800.0,21.875,9.654940497259505E-5,1800.0,90.0,79.69955339017459,-122.22222222222197,80.58252427184468,1800.0,2.9874352E7
2000.0,25.015625,1.2333462687416207E-4,2000.0,85.0,77.05193911114509,-130.769230769231,70.0,2000.0,3.296716E7
2200.0,27.8125,1.4623314643459807E-4,2200.0,87.0,80.87743169197955,-100.00000000000017,72.04301075268818,2200.0,3.1647304E7
2400.0,30.953125,1.7578600029486953E-4,2400.0,84.0,79.20051998700032,-190.9090909090907,76.47058823529413,2400.0,3.6373552E7
2600.0,34.375,2.083024718902177E-4,2600.0,89.5,86.24439131431566,-40.00000000000006,83.96946564885496,2600.0,3.6731752E7
2800.0,37.25,2.389059854774839E-4,2800.0,91.0,86.5006749662517,-99.99999999999976,85.9375,2800.0,4.1146776E7
3000.0,40.390625,2.696630870600024E-4,3000.0,90.5,87.33164421922923,-137.49999999999974,89.38547486033521,3000.0,3.7855736E7
3200.0,43.40625,2.9943483694094337E-4,3200.0,82.0,72.5012412634152,-125.00000000000017,76.77419354838709,3200.0,3.8161848E7
3400.0,46.828125,3.319301548051751E-4,3400.0,80.0,73.00215982721383,-135.29411764705887,67.74193548387098,3400.0,3.6707856E7
3600.0,50.296875,3.6190433861015155E-4,3600.0,71.0,56.38113860269234,-241.17647058823545,42.574257425742566,3600.0,3.3402328E7
3800.0,53.203125,3.8926300327552275E-4,3800.0,83.5,75.8029036515618,-135.71428571428592,70.79646017699115,3800.0,3.6388512E7
4000.0,55.84375,4.1450889577390623E-4,4000.0,87.5,79.21084362396574,-257.1428571428568,78.63247863247864,4000.0,3.695612E7
4200.0,58.59375,4.413897937694047E-4,4200.0,80.5,74.3901237810684,-200.00000000000017,75.00000000000001,4200.0,3.778448E7
4400.0,61.625,4.7254992283544397E-4,4400.0,85.5,80.92795370096346,-93.33333333333347,79.43262411347519,4400.0,3.9735608E7
4600.0,64.9375,4.90110236472295E-4,4600.0,76.5,67.04876082307989,-161.11111111111117,68.45637583892618,4600.0,2.0491736E7
4800.0,67.65625,5.065667420664492E-4,4800.0,81.5,73.35253871083903,-117.64705882352958,66.36363636363635,4800.0,2.3397568E7
5000.0,69.96875,5.225636375123738E-4,5000.0,97.0,92.6470588235294,-200.0,89.99999999999999,5000.0,2.6739688E7
5200.0,72.6875,5.413283277367656E-4,5200.0,83.5,76.04442669957533,-120.00000000000017,75.18796992481201,5200.0,2.6679304E7
5400.0,75.21875,5.607777587202791E-4,5400.0,84.5,75.18113766462513,-121.42857142857162,77.20588235294117,5400.0,2.9701216E7
