learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,2.9976945370435715E-11,200.0,41.0,6.671412188080835,-490.0000000000001,-8.256880733944962,200.0,7416.0
400.0,0.03125,5.995389074087143E-11,400.0,56.99999999999999,0.0,-759.9999999999993,0.0,400.0,7416.0
600.0,0.03125,5.995389074087143E-11,600.0,40.5,0.0,-815.384615384616,1.6528925619834725,600.0,7416.0
800.0,0.03125,5.995389074087143E-11,800.0,28.499999999999996,0.0,-361.2903225806451,-0.7042253521126767,800.0,7416.0
1000.0,0.03125,5.995389074087143E-11,1000.0,47.5,0.0,-452.6315789473686,-29.629629629629626,1000.0,7416.0
1200.0,0.03125,5.995389074087143E-11,1200.0,29.5,0.0,-907.1428571428578,-39.603960396039604,1200.0,7432.0
1400.0,0.03125,5.995389074087143E-11,1400.0,36.5,0.0,-876.9230769230777,5.925925925925923,1400.0,7432.0
1600.0,0.03125,5.995389074087143E-11,1600.0,30.0,0.0,-833.3333333333337,-8.527131782945736,1600.0,7432.0
1800.0,0.046875,8.999551129009989E-11,1800.0,64.5,0.0,-688.8888888888881,31.067961165048548,1800.0,7432.0
2000.0,0.0625,1.2003713183932834E-10,2000.0,50.0,0.0,-669.2307692307699,0.0,2000.0,7432.0
2200.0,0.0625,1.2003713183932834E-10,2200.0,43.5,0.0,-769.2307692307699,-21.50537634408603,2200.0,7432.0
2400.0,0.0625,1.2003713183932834E-10,2400.0,32.0,0.0,-1136.3636363636354,0.0,2400.0,7432.0
2600.0,0.078125,1.500787523885568E-10,2600.0,34.5,0.0,-773.3333333333338,0.0,2600.0,7432.0
2800.0,0.078125,1.500787523885568E-10,2800.0,16.5,0.0,-1755.5555555555538,-30.468749999999993,2800.0,7432.0
3000.0,0.078125,1.500787523885568E-10,3000.0,12.0,0.0,-2099.999999999998,1.675977653631285,3000.0,7432.0
3200.0,0.078125,1.500787523885568E-10,3200.0,30.5,0.0,-768.7500000000003,10.322580645161288,3200.0,7432.0
3400.0,0.078125,1.500787523885568E-10,3400.0,30.5,0.0,-717.6470588235298,-12.09677419354839,3400.0,7432.0
3600.0,0.078125,1.500787523885568E-10,3600.0,49.0,0.0,-500.0000000000003,-0.990099009900991,3600.0,7432.0
3800.0,0.078125,1.500787523885568E-10,3800.0,43.5,0.0,-707.1428571428578,0.0,3800.0,7432.0
4000.0,0.09375,1.8012037293778524E-10,4000.0,42.5,0.0,-1542.8571428571418,1.7094017094017109,4000.0,7432.0
4200.0,0.09375,1.8012037293778524E-10,4200.0,31.0,0.0,-961.5384615384623,11.538461538461538,4200.0,7432.0
4400.0,0.09375,1.8012037293778524E-10,4400.0,32.5,0.0,-800.0000000000006,4.255319148936174,4400.0,7432.0
4600.0,0.09375,1.8012037293778524E-10,4600.0,34.0,0.0,-633.3333333333337,11.409395973154366,4600.0,7432.0
4800.0,0.09375,1.8012037293778524E-10,4800.0,40.0,0.0,-605.8823529411767,-9.090909090909088,4800.0,7432.0
5000.0,0.109375,2.1016199348701368E-10,5000.0,70.0,0.0,-2899.9999999999977,0.0,5000.0,7432.0
5200.0,0.109375,2.1016199348701368E-10,5200.0,28.000000000000004,0.0,-860.0000000000005,-8.27067669172932,5200.0,7432.0
5400.0,0.125,2.4020361403624213E-10,5400.0,43.5,0.0,-707.1428571428578,16.911764705882355,5400.0,7432.0
