learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.09375,4.866393477035066E-6,1000.0,82.6,65.19498807828327,-24.285714285714306,64.48979591836734,1000.0,2.00649608E8
2000.0,0.21875,1.1361324318891599E-5,2000.0,85.1,64.21469263062838,-6.428571428571433,50.0,2000.0,2.00847712E8
3000.0,0.328125,1.704424800765183E-5,3000.0,79.5,57.736141577740774,-10.215053763440807,50.12165450121656,3000.0,2.00842736E8
4000.0,0.4375,2.2731764377870904E-5,4000.0,81.69999999999999,61.308164611559334,-8.284023668639058,53.19693094629155,4000.0,2.01005048E8
5000.0,0.546875,2.842029055399406E-5,5000.0,79.80000000000001,55.49327551865757,-26.24999999999995,42.937853107344644,5000.0,2.01040736E8
6000.0,0.71875,3.736813268106844E-5,6000.0,81.5,61.52342287630091,-21.710526315789487,55.74162679425837,6000.0,2.01237064E8
7000.0,0.90625,4.7133961019830566E-5,7000.0,78.3,55.44550389697852,-13.612565445026195,48.4560570071259,7000.0,2.01330784E8
8000.0,1.109375,5.771132441522139E-5,8000.0,80.10000000000001,60.120240480961925,-16.3742690058479,62.523540489642194,8000.0,2.0128732E8
9000.0,1.328125,6.911532756122243E-5,9000.0,81.3,62.49468507569254,-8.720930232558146,60.548523206751035,9000.0,2.01516976E8
10000.0,1.53125,7.97087519054508E-5,10000.0,83.3,66.59599151898227,-16.783216783216794,65.63786008230453,10000.0,2.0159296E8
11000.0,1.671875,8.704973940944506E-5,11000.0,81.6,63.20279658745934,-2.7932960893854766,63.12625250501001,11000.0,2.01787528E8
12000.0,1.921875,1.0012914051508738E-4,12000.0,84.0,67.65023433361503,-15.942028985507259,64.3652561247216,12000.0,2.0223216E8
13000.0,2.296875,1.1977830216185086E-4,13000.0,83.8,67.5972781713664,-13.286713286713297,67.20647773279352,13000.0,2.02542016E8
14000.0,2.640625,1.3782349279305587E-4,14000.0,86.8,73.59788783102647,-34.69387755102045,71.67381974248926,14000.0,2.02918264E8
15000.0,2.9375,1.534196967905801E-4,15000.0,83.89999999999999,66.94886722887807,-11.034482758620697,64.22222222222221,15000.0,2.0307088E8
16000.0,3.328125,1.739539997652173E-4,16000.0,80.7,60.37319010192099,-17.682926829268236,54.15676959619954,16000.0,2.03199344E8
17000.0,3.703125,1.936820304642121E-4,17000.0,83.1,63.47998962745266,-5.6250000000000036,53.05555555555554,17000.0,2.03354992E8
18000.0,4.171875,2.1838090498931705E-4,18000.0,85.7,70.43377579291237,-2.877697841726621,65.45893719806763,18000.0,2.03675248E8
19000.0,4.75,2.489019712407349E-4,19000.0,84.7,66.90460739779364,-14.17910447761195,56.90140845070422,19000.0,2.04070544E8
20000.0,5.625,2.9474998610870296E-4,20000.0,85.8,71.57999231458948,-14.516129032258076,72.37354085603113,20000.0,2.02541888E8
21000.0,5.984375,3.135891139067503E-4,21000.0,78.2,55.806033084657805,-19.125683060109242,50.9009009009009,21000.0,2.02635392E8
22000.0,6.375,3.3408306927109764E-4,22000.0,81.0,50.78944096804941,-1.6042780748662517,30.656934306569365,22000.0,2.0280008E8
23000.0,6.734375,3.5295503353053296E-4,23000.0,80.7,60.215044897218775,-27.81456953642379,54.800936768149896,23000.0,2.02988584E8
24000.0,7.125,3.7349806037834956E-4,24000.0,83.5,64.91272838624069,-11.486486486486495,58.33333333333333,24000.0,2.03285672E8
25000.0,7.578125,3.9735139376716693E-4,25000.0,86.1,70.2378403377898,-19.827586206896573,63.12997347480106,25000.0,2.0348548E8
26000.0,8.078125,4.2370065558417185E-4,26000.0,82.39999999999999,64.25263636806785,-25.714285714285733,60.18099547511311,26000.0,2.03704592E8
27000.0,8.671875,4.550570703900626E-4,27000.0,87.3,73.50302524514917,-18.691588785046747,69.02439024390245,27000.0,2.04138608E8
28000.0,9.5625,5.017036660703727E-4,28000.0,89.1,77.36052839280522,-19.780219780219806,73.41463414634147,28000.0,2.02454504E8
29000.0,9.921875,5.205676772554095E-4,29000.0,85.7,69.20094766314882,-23.275862068965537,62.46719160104986,29000.0,2.0290304E8
30000.0,10.328125,5.419562763482747E-4,30000.0,85.0,68.2569242229295,-38.88888888888893,62.121212121212125,30000.0,2.03512616E8
31000.0,10.84375,5.691563770394877E-4,31000.0,83.1,63.515940727436,-13.42281879194632,55.40897097625329,31000.0,2.03910184E8
