learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.046875,2.432773083758851E-6,200.0,66.5,46.134984121879654,-235.00000000000006,38.53211009174313,200.0,2.00614672E8
400.0,0.125,6.490817177109421E-6,400.0,61.5,31.102362204724415,-669.9999999999993,10.465116279069775,400.0,2.00784E8
600.0,0.1875,9.741699646434023E-6,600.0,62.5,40.513959390862944,-476.92307692307736,38.01652892561983,600.0,2.01059048E8
800.0,0.25,1.2993798138470285E-5,800.0,65.0,50.4985503146878,-125.80645161290317,50.70422535211269,800.0,2.01134256E8
1000.0,0.296875,1.5435009586831763E-5,1000.0,62.5,33.49884731335343,-294.7368421052633,7.407407407407414,1000.0,2.01310528E8
1200.0,0.375,1.9494887383189052E-5,1200.0,41.0,15.515142836686474,-742.8571428571435,-16.831683168316836,1200.0,2.00874728E8
1400.0,0.4375,2.27464519169492E-5,1400.0,45.0,22.961095353153343,-746.1538461538468,18.51851851851852,1400.0,2.01101232E8
1600.0,0.515625,2.6818617512213272E-5,1600.0,47.0,24.323552509459557,-606.6666666666671,17.829457364341085,1600.0,2.01482704E8
1800.0,0.578125,3.0071383452094676E-5,1800.0,58.5,23.590333716915985,-822.2222222222215,19.417475728155335,1800.0,2.01175536E8
2000.0,0.6875,3.575747056553761E-5,2000.0,52.0,18.826364520356822,-638.461538461539,4.0000000000000036,2000.0,2.00954536E8
2200.0,0.734375,3.819670111018543E-5,2200.0,56.00000000000001,29.206387514581078,-576.9230769230774,5.37634408602151,2200.0,2.01147176E8
2400.0,0.796875,4.145054014063336E-5,2400.0,57.99999999999999,43.07978993732001,-663.6363636363631,38.23529411764706,2400.0,2.01241904E8
2600.0,0.875,4.551816198121135E-5,2600.0,51.5,32.058555718988586,-546.6666666666671,25.954198473282446,2600.0,2.01257888E8
2800.0,0.953125,4.9586395648980716E-5,2800.0,72.0,57.045332515149184,-522.2222222222217,56.25,2800.0,2.0128816E8
3000.0,1.015625,5.284156103799533E-5,3000.0,29.5,17.83456193001369,-1662.4999999999986,21.22905027932961,3000.0,2.01323936E8
3200.0,1.109375,5.77297154490629E-5,3200.0,54.50000000000001,27.915082382763007,-468.7500000000003,41.29032258064517,3200.0,2.01546848E8
3400.0,1.1875,6.180549412319022E-5,3400.0,51.5,32.00140203294778,-470.58823529411785,21.7741935483871,3400.0,2.01661472E8
3600.0,1.25,6.506581308915175E-5,3600.0,46.0,15.420158195630048,-535.294117647059,-6.930693069306926,3600.0,2.01642672E8
3800.0,1.34375,6.995740039403446E-5,3800.0,55.50000000000001,29.49936628643855,-535.7142857142861,21.238938053097357,3800.0,2.01688392E8
4000.0,1.4375,7.485131794560907E-5,4000.0,61.5,34.84515146386868,-999.9999999999991,34.188034188034194,4000.0,2.01784472E8
4200.0,1.53125,7.974516875239917E-5,4200.0,52.0,32.82955499580184,-638.461538461539,38.46153846153847,4200.0,2.0178172E8
4400.0,1.625,8.463756397961535E-5,4400.0,31.5,7.234993398110838,-813.3333333333339,2.836879432624116,4400.0,2.01721704E8
4600.0,1.71875,8.953188199989705E-5,4600.0,39.0,17.22078979508753,-577.777777777778,18.120805369127517,4600.0,2.01800984E8
4800.0,1.796875,9.361155703017075E-5,4800.0,37.0,5.547226386806593,-641.1764705882356,-14.545454545454547,4800.0,2.01854256E8
5000.0,1.90625,9.932626685541537E-5,5000.0,76.0,39.39393939393941,-2299.9999999999977,20.000000000000014,5000.0,2.01966104E8
5200.0,2.0,1.0422481366226243E-4,5200.0,45.0,17.97166293810589,-633.3333333333337,17.293233082706767,5200.0,2.01975344E8
5400.0,2.09375,1.0912656421876616E-4,5400.0,56.99999999999999,31.01512052300163,-514.2857142857148,36.764705882352935,5400.0,2.0210744E8
