learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,2.515625,3.2293699203162555E-6,200.0,81.5,70.30020870123614,-85.0000000000001,66.05504587155963,200.0,4984296.0
400.0,4.71875,7.2351473176644906E-6,400.0,87.5,79.62261075111057,-149.99999999999977,70.93023255813954,400.0,7028296.0
600.0,6.59375,1.1285841723697052E-5,600.0,84.5,76.43302417515584,-138.4615384615387,74.3801652892562,600.0,8350848.0
800.0,8.609375,1.7270053956761126E-5,800.0,83.0,76.30496898738588,-9.677419354838717,76.05633802816902,800.0,1.147624E7
1000.0,11.34375,2.828179380028612E-5,1000.0,88.5,80.3385194050265,-21.05263157894739,71.60493827160495,1000.0,1.5566832E7
1200.0,14.5625,4.441619850695133E-5,1200.0,80.0,71.21370227771581,-185.71428571428586,60.3960396039604,1200.0,1.9376176E7
1400.0,17.34375,6.010986955112053E-5,1400.0,88.5,84.36225183573566,-76.92307692307705,82.96296296296296,1400.0,2.1811568E7
1600.0,20.21875,7.84043236894326E-5,1600.0,86.0,79.69248621990135,-86.66666666666679,78.29457364341084,1600.0,2.4597104E7
1800.0,23.390625,1.0024284976275844E-4,1800.0,89.0,77.81699016889337,-144.4444444444442,78.64077669902912,1800.0,2.6613968E7
2000.0,26.75,1.2368797040027048E-4,2000.0,81.0,70.26487734261903,-192.30769230769246,62.000000000000014,2000.0,2.6977168E7
2200.0,29.609375,1.4475499684016944E-4,2200.0,86.0,79.47214076246335,-115.38461538461557,69.89247311827957,2200.0,2.847964E7
2400.0,33.421875,1.7972422521173333E-4,2400.0,84.0,79.23224194438134,-190.9090909090907,76.47058823529413,2400.0,3.5455088E7
2600.0,37.15625,2.1671516691438024E-4,2600.0,86.0,81.65858771125376,-86.66666666666679,78.62595419847328,2600.0,3.8289512E7
2800.0,40.40625,2.5358117418363687E-4,2800.0,88.0,81.8470614930792,-166.66666666666643,81.25,2800.0,4.3847528E7
3000.0,44.15625,2.9807698059206207E-4,3000.0,88.0,84.12173337743964,-199.99999999999974,86.59217877094973,3000.0,4.5865928E7
3200.0,47.984375,3.44296950141951E-4,3200.0,84.5,76.2897242724387,-93.75000000000013,80.0,3200.0,4.6670872E7
3400.0,52.0625,3.7761809414304376E-4,3400.0,77.5,69.6479158235532,-164.70588235294125,63.70967741935484,3400.0,3.1583608E7
3600.0,55.71875,4.0925434958707127E-4,3600.0,70.5,55.565597228498255,-247.05882352941194,41.58415841584158,3600.0,3.3446568E7
3800.0,58.828125,4.3811797364873604E-4,3800.0,83.5,75.52291944815308,-135.71428571428592,70.79646017699115,3800.0,3.5882288E7
4000.0,62.0,4.6762953014371707E-4,4000.0,84.5,74.01182043006244,-342.85714285714255,73.50427350427351,4000.0,3.5964864E7
4200.0,65.65625,5.012099587151574E-4,4200.0,78.0,71.11439356638766,-238.46153846153868,71.7948717948718,4200.0,3.5501992E7
4400.0,69.203125,5.325378929329519E-4,4400.0,82.0,76.18260006615944,-140.00000000000023,74.46808510638296,4400.0,3.4141944E7
4600.0,73.578125,5.603271357055444E-4,4600.0,78.5,69.93112128946541,-138.8888888888889,71.14093959731545,4600.0,2.45528E7
4800.0,77.125,5.853640081477352E-4,4800.0,84.5,77.87373755397738,-82.3529411764707,71.8181818181818,4800.0,2.7285792E7
5000.0,80.046875,6.088593788768372E-4,5000.0,97.0,92.6470588235294,-200.0,89.99999999999999,5000.0,3.1083008E7
5200.0,83.703125,6.366581307116172E-4,5200.0,80.5,71.85436437772886,-160.00000000000009,70.67669172932331,5200.0,2.9389472E7
5400.0,86.65625,6.607737095651425E-4,5400.0,90.5,85.39753295161972,-35.71428571428577,86.02941176470588,5400.0,3.1565904E7
