learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.515625,4.708239381822447E-6,1000.0,90.5,81.0013679015111,32.14285714285717,80.61224489795919,1000.0,7256952.0
2000.0,4.625,9.461280521160611E-6,2000.0,93.10000000000001,83.52419793885329,50.71428571428576,76.84563758389264,2000.0,8710040.0
3000.0,7.34375,1.6889258889326203E-5,3000.0,92.10000000000001,83.53164841945517,57.52688172043015,80.7785888077859,3000.0,1.0560968E7
4000.0,9.390625,2.416306343447003E-5,4000.0,93.30000000000001,85.79485222405971,60.35502958579886,82.86445012787725,4000.0,1.3736392E7
5000.0,12.125,3.4687313309405E-5,5000.0,91.60000000000001,81.25100441047802,47.50000000000003,76.27118644067798,5000.0,1.4877688E7
6000.0,14.6875,4.4537130516902025E-5,6000.0,90.8,81.12959863476749,39.47368421052634,77.99043062200958,6000.0,1.4858216E7
7000.0,17.203125,5.632225989959099E-5,7000.0,91.5,82.37626061571126,55.497382198952884,79.80997624703089,7000.0,1.8108848E7
8000.0,19.953125,6.702749417551482E-5,8000.0,90.60000000000001,81.13396889111893,45.0292397660819,82.29755178907722,8000.0,1.5047552E7
9000.0,22.296875,7.850510388379915E-5,9000.0,93.4,86.71155209071581,61.62790697674423,86.07594936708863,9000.0,1.8929648E7
10000.0,25.0625,8.856908204810072E-5,10000.0,90.8,81.59963199263987,35.664335664335695,81.06995884773663,10000.0,1.4066264E7
11000.0,27.03125,9.772715643824388E-5,11000.0,94.39999999999999,88.78209622557601,68.71508379888266,88.77755511022043,11000.0,1.7981088E7
12000.0,29.625,1.0653968492988496E-4,12000.0,90.2,80.13661146806656,28.985507246376834,78.17371937639199,12000.0,1.3133328E7
13000.0,32.140625,1.1615340112863729E-4,13000.0,91.9,83.80349844433603,43.356643356643396,83.60323886639677,13000.0,1.4772288E7
14000.0,34.34375,1.274859224213287E-4,14000.0,93.60000000000001,87.19918074756785,34.69387755102045,86.26609442060087,14000.0,1.988336E7
15000.0,36.703125,1.3474435881815022E-4,15000.0,90.8,80.94575338834213,36.55172413793106,79.55555555555556,15000.0,1.1891824E7
16000.0,38.953125,1.406626902624137E-4,16000.0,92.4,84.36014470981895,53.65853658536589,81.9477434679335,16000.0,1.0167616E7
17000.0,41.359375,1.500840521314078E-4,17000.0,90.3,79.03881061457344,39.37500000000003,73.05555555555556,17000.0,1.5134752E7
18000.0,43.515625,1.6146867917591912E-4,18000.0,91.60000000000001,82.7611683002512,39.56834532374104,79.71014492753625,18000.0,2.0409016E7
19000.0,45.34375,1.7251807471944225E-4,19000.0,92.4,82.79414095220847,43.283582089552276,78.59154929577466,19000.0,2.3363344E7
20000.0,48.28125,1.8446085289017193E-4,20000.0,92.2,84.40598810056939,37.09677419354842,84.82490272373542,20000.0,1.571556E7
21000.0,51.078125,1.9159096965773236E-4,21000.0,88.9,77.22348074460751,39.34426229508199,75.0,21000.0,9854304.0
22000.0,53.109375,1.9741523596975537E-4,22000.0,89.2,72.667638483965,42.24598930481286,60.58394160583942,22000.0,1.1083584E7
23000.0,55.453125,2.0105658111990325E-4,23000.0,87.4,73.9086138847589,16.55629139072849,70.49180327868852,23000.0,6005552.0
24000.0,57.90625,2.0728550353346184E-4,24000.0,87.0,72.36770507413958,12.162162162162172,67.17171717171718,24000.0,9815120.0
25000.0,60.296875,2.1457116727510259E-4,25000.0,88.9,75.87732642541096,4.310344827586212,70.55702917771883,25000.0,1.17804E7
26000.0,62.578125,2.2426137493716344E-4,26000.0,90.9,81.48645459502129,35.00000000000003,79.41176470588236,26000.0,1.64196E7
27000.0,64.921875,2.3554542962099528E-4,27000.0,93.10000000000001,85.64712734534261,35.514018691588824,83.17073170731709,27000.0,1.8610424E7
28000.0,67.484375,2.4813101400569495E-4,28000.0,88.3,75.77138123835164,-28.57142857142861,71.46341463414635,28000.0,1.8985056E7
