learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
200.0,2.046875,2.105424613950567E-6,200.0,81.0,69.76568405139835,-89.99999999999999,65.1376146788991,200.0,3998136.0
400.0,3.625,4.217997904763453E-6,400.0,85.0,75.49119725501409,-199.99999999999977,65.11627906976743,400.0,5174552.0
600.0,5.203125,6.844991197188694E-6,600.0,84.0,75.7299962078119,-146.15384615384642,73.55371900826447,600.0,6434576.0
800.0,7.203125,1.1632655643754535E-5,800.0,84.5,78.39269533700424,0.0,78.16901408450704,800.0,9253288.0
1000.0,9.09375,1.7797723800564805E-5,1000.0,85.0,74.46373850868233,-57.89473684210533,62.96296296296296,1000.0,1.2604768E7
1200.0,11.28125,2.6236423420616322E-5,1200.0,84.5,77.66811943954183,-121.42857142857162,69.3069306930693,1200.0,1.4911792E7
1400.0,13.65625,3.648066932025055E-5,1400.0,85.5,80.46282884764375,-123.07692307692328,78.51851851851852,1400.0,1.6673192E7
1600.0,15.96875,4.867369554833406E-5,1600.0,85.0,78.18816344336194,-100.00000000000016,76.74418604651162,1600.0,2.0381312E7
1800.0,18.5,6.329003734410638E-5,1800.0,88.5,77.36888713962414,-155.55555555555532,77.66990291262135,1800.0,2.2320608E7
2000.0,21.15625,8.188883534684364E-5,2000.0,84.0,75.39975399753996,-146.15384615384642,68.0,2000.0,2.706564E7
2200.0,23.71875,1.0102993000247E-4,2200.0,88.0,82.28716926823867,-84.61538461538476,74.19354838709677,2200.0,2.8873888E7
2400.0,26.71875,1.2743778649665832E-4,2400.0,86.5,82.55194028886233,-145.45454545454527,80.1470588235294,2400.0,3.4026264E7
2600.0,29.828125,1.5986958932545452E-4,2600.0,90.0,86.76898650436624,-33.33333333333338,84.73282442748092,2600.0,4.0318128E7
2800.0,33.171875,1.9914659057071227E-4,2800.0,90.0,84.86568293605752,-122.22222222222197,84.375,2800.0,4.5405336E7
3000.0,36.625,2.4401562087910457E-4,3000.0,90.0,86.88696564385,-149.99999999999974,88.8268156424581,3000.0,5.0226944E7
3200.0,40.40625,2.941622231931736E-4,3200.0,84.5,76.34490652422738,-93.75000000000013,80.0,3200.0,5.1263528E7
3400.0,44.28125,3.3856284558876523E-4,3400.0,78.5,70.89776995702347,-152.94117647058832,65.3225806451613,3400.0,4.4291432E7
3600.0,48.046875,3.808729762547753E-4,3600.0,74.5,61.951656222023274,-200.00000000000014,49.504950495049506,3600.0,4.3431984E7
3800.0,51.109375,4.1489983423768234E-4,3800.0,83.5,75.53380782918148,-135.71428571428592,70.79646017699115,3800.0,4.2948512E7
4000.0,54.046875,4.50018719291418E-4,4000.0,87.0,78.52038498079227,-271.4285714285711,77.77777777777779,4000.0,4.6213112E7
4200.0,57.234375,4.8633946616771735E-4,4200.0,80.5,74.45805226275462,-200.00000000000017,75.00000000000001,4200.0,4.4046048E7
4400.0,60.34375,5.223399497077076E-4,4400.0,84.5,79.66079454121969,-106.66666666666683,78.01418439716312,4400.0,4.4754592E7
4600.0,64.15625,5.489843860656643E-4,4600.0,78.0,69.11630518705692,-144.4444444444445,70.46979865771812,4600.0,2.7014632E7
4800.0,67.15625,5.731788861642901E-4,4800.0,83.5,76.7294266976941,-94.11764705882365,69.99999999999999,4800.0,3.1174376E7
5000.0,69.75,5.961680428461274E-4,5000.0,98.0,95.14563106796116,-100.0,93.33333333333333,5000.0,3.4260784E7
5200.0,73.140625,6.290301375944787E-4,5200.0,81.5,73.28616295440597,-146.66666666666688,72.18045112781954,5200.0,3.746432E7
5400.0,76.25,6.599950925576396E-4,5400.0,88.5,82.02493063967802,-64.28571428571439,83.08823529411765,5400.0,3.8494592E7
