learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,7.47774417201678E-9,1000.0,86.1,72.2153371339021,0.7142857142857149,71.63265306122449,1000.0,184992.0,10.0,901.4,207.06853401175604,10035.2,1882.0289760433197,4.199999999999999,1.0327955589886442,2.5999999999999996,0.5163977794943221,2.5999999999999996,0.5163977794943221,1.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,1.2967276335176494E-8,2000.0,91.7,80.02714383344083,40.71428571428575,72.14765100671143,2000.0,194008.0,10.0,1169.0,857.2629571944525,11004.0,5875.1965262638005,5.7,4.2176876234364356,3.5999999999999996,2.7162065049951147,3.5999999999999996,2.7162065049951147,1.7000000000000002,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,2.4937972840335635E-8,3000.0,88.8,76.86705579583524,39.784946236559165,72.74939172749392,3000.0,329048.0,10.0,1818.0999999999997,1061.7593837065388,24384.0,15801.564141987126,9.7,6.129165250396392,6.6000000000000005,4.788875998951459,6.6000000000000005,4.788875998951459,2.6999999999999997,1.0593499054713802,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.484375,3.259890945628286E-8,4000.0,91.10000000000001,81.13047534240766,47.337278106508904,77.2378516624041,4000.0,379048.0,10.0,2457.1,1296.5829835893007,29253.6,21989.73402496922,10.4,6.947421584060281,7.2,5.553777493242275,7.2,5.553777493242275,2.6999999999999997,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5625,3.795126556522317E-8,5000.0,89.2,75.3478689602279,32.50000000000002,69.49152542372882,5000.0,264824.0,10.0,1503.4,1498.7055303383206,18027.200000000004,17403.48642466024,6.6,5.316640543300503,4.299999999999999,4.191260749066641,4.299999999999999,4.191260749066641,2.1000000000000005,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,4.516222462471989E-8,6000.0,88.6,76.34658477881983,25.000000000000018,72.72727272727273,6000.0,297320.0,10.0,1891.6000000000001,1027.6119241555475,21152.0,12140.782475240676,7.499999999999998,3.59783885748715,5.0,2.9059326290271157,5.0,2.9059326290271157,2.4000000000000004,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.703125,4.842796544026998E-8,7000.0,88.3,75.5814535922395,38.743455497382186,72.20902612826605,7000.0,269304.0,10.0,2091.1,1166.2663551312414,18307.2,11360.557232029696,6.6000000000000005,3.596294389136314,4.3,2.7100635498903793,4.3,2.7100635498903793,2.1,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.78125,5.423434130433533E-8,8000.0,87.4,74.61468721668179,26.315789473684227,76.27118644067797,8000.0,287288.0,10.0,2110.2999999999997,1469.4308081702927,20284.8,14298.004808752552,7.4,4.742245131674331,4.9,3.541813722437199,4.9,3.541813722437199,2.4,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.828125,5.749290317503943E-8,9000.0,90.4,80.61044773707768,44.186046511627936,79.74683544303798,9000.0,268712.0,10.0,2751.1,1742.4951107854251,18263.2,12415.005372532063,7.0,4.396968652757639,4.5,3.1358146203711295,4.5,3.1358146203711295,2.3000000000000003,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.890625,6.190297426655889E-8,10000.0,86.8,73.60580672252105,7.692307692307699,72.8395061728395,10000.0,272752.0,10.0,3452.2999999999997,2153.583166621516,18988.8,13513.683310712227,7.5,5.082650227325635,5.0,3.651483716701107,5.0,3.651483716701107,2.3,1.3374935098492584,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.953125,6.734526121161051E-8,11000.0,90.2,80.34173289630465,45.251396648044725,80.36072144288578,11000.0,336592.0,10.0,4124.1,2480.9556604036457,25074.4,12498.933245148031,10.8,4.237399621885521,7.3999999999999995,3.3065591380365986,7.3999999999999995,3.3065591380365986,2.8,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
