learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
200.0,0.3125,3.072782419621944E-8,200.0,84.0,74.81207446180488,-60.000000000000064,70.64220183486239,200.0,380088.0,10.0,199.99999999999997,21.514852750806565,29416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.5,4.835814858476321E-8,400.0,67.0,51.39016755661942,-559.9999999999993,23.255813953488392,400.0,363464.0,10.0,310.3,133.54653787267486,27804.0,2647.0914856372706,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.578125,5.6042691640969775E-8,600.0,81.0,70.54035196526863,-192.30769230769246,68.59504132231406,600.0,380216.0,10.0,468.99999999999994,177.46048073366146,29428.800000000003,24.787093415727213,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.671875,6.457903913946615E-8,800.0,76.0,66.54119615223756,-54.83870967741932,66.19718309859157,800.0,351968.0,10.0,555.8,316.31095811277584,26604.0,9297.096320895036,0.8999999999999999,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.78125,7.542138013781773E-8,1000.0,84.5,73.76216673719847,-63.15789473684218,61.72839506172839,1000.0,383184.0,10.0,754.9,312.6529670061965,29540.799999999996,10.11928851253924,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.90625,8.927402733307746E-8,1200.0,70.0,55.62458398047482,-328.5714285714289,40.594059405940584,1200.0,428376.0,10.0,837.5,400.56272916985176,34228.0,2531.4413987994185,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,1.0625,1.0699114581156108E-7,1400.0,83.0,77.43038268777589,-161.5384615384618,74.8148148148148,1400.0,438304.0,10.0,1033.2,402.4938370818724,35136.799999999996,48.06662043455967,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,1.203125,1.2216559197339746E-7,1600.0,68.0,52.13163799551235,-326.66666666666686,50.38759689922482,1600.0,417112.0,10.0,1001.5,613.9175206998268,33320.0,4266.126632490465,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,1.328125,1.355210163940986E-7,1800.0,86.0,71.91574724172519,-211.11111111111086,72.81553398058253,1800.0,413000.0,10.0,1024.6,664.9115563575187,32740.8,4556.796067414033,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.4375,1.4752369477517074E-7,2000.0,74.0,57.75105622359441,-300.00000000000034,48.0,2000.0,424192.0,10.0,1134.6999999999998,787.9798432278159,33809.59999999999,4351.424471748686,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2200.0,1.546875,1.5939870435330601E-7,2200.0,73.5,59.69888221428028,-307.6923076923081,43.01075268817204,2200.0,419680.0,10.0,999.8,898.7664138510443,33526.4,4361.039305282884,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2400.0,1.640625,1.701279284639491E-7,2400.0,89.5,86.62292575723795,-90.90909090909071,84.55882352941177,2400.0,442384.0,10.0,1199.1,898.929295205011,35578.399999999994,169.4980825850249,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,1.765625,1.8441338195568983E-7,2600.0,81.0,74.18478260869566,-153.3333333333334,70.99236641221374,2600.0,441760.0,10.0,1148.5,869.0043152942337,35600.0,179.63914445972566,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2800.0,1.90625,2.0004097475773757E-7,2800.0,84.0,76.09353404803704,-255.55555555555532,75.0,2800.0,429568.0,10.0,1258.3999999999999,964.079664758053,34364.0,3872.3457145938473,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,2.078125,2.2000148116300502E-7,3000.0,89.5,86.26553302812296,-162.49999999999974,88.26815642458101,3000.0,448912.0,10.0,1053.8999999999999,1015.1725031299416,36248.799999999996,6939.2861112173005,3.0,6.324555320336759,2.9,6.008327554319921,2.9,6.008327554319921,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
3200.0,2.203125,2.3560061688638393E-7,3200.0,80.5,69.74398758727696,-143.75000000000006,74.83870967741936,3200.0,482384.0,10.0,666.8,471.56637331816233,39701.59999999999,19204.643160791442,5.2,8.854377448471462,5.0,8.432740427115677,5.0,8.432740427115677,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
3400.0,2.328125,2.5524065778073335E-7,3400.0,75.5,66.82352144622364,-188.23529411764716,60.483870967741936,3400.0,607344.0,10.0,718.4000000000001,444.2287198679927,52059.2,38799.430410481255,5.6000000000000005,9.697651491183029,5.4,9.276014469827246,5.4,9.276014469827246,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
3600.0,2.46875,2.824143222015765E-7,3600.0,68.0,52.13342806925696,-276.4705882352942,36.63366336633664,3600.0,746944.0,10.0,629.9000000000001,410.4186074404197,65985.6,66587.51597909826,6.0,10.540925533894598,5.8,10.119288512538814,5.8,10.119288512538814,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
3800.0,2.578125,3.050375057177411E-7,3800.0,75.0,62.43284871708179,-257.1428571428574,55.75221238938054,3800.0,799536.0,10.0,697.0,531.3157671709399,71463.2,82430.50960091577,6.2,10.962562555250383,6.0,10.540925533894598,6.0,10.540925533894598,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,2.671875,3.2627573495523793E-7,4000.0,86.0,76.93289945215636,-299.9999999999997,76.06837606837608,4000.0,875688.0,10.0,830.0,585.1681619652403,78860.0,94879.44225056226,6.4,11.384199576606166,6.2,10.962562555250383,6.2,10.962562555250383,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
