learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.15625,1.2359426667292913E-9,200.0,80.5,69.5002737154923,-95.0,64.22018348623854,200.0,30576.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
400.0,0.1875,1.4833899007903206E-9,400.0,71.5,57.690023752969125,-469.99999999999955,33.72093023255814,400.0,30608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
600.0,0.21875,1.7294789560967022E-9,600.0,76.0,61.76517444639159,-269.2307692307695,60.33057851239669,600.0,30440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
800.0,0.234375,1.8535906241999732E-9,800.0,72.0,60.96472884427714,-80.64516129032256,60.56338028169014,800.0,30704.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.25,1.9783813816805683E-9,1000.0,86.5,76.89147552208146,-42.10526315789478,66.66666666666666,1000.0,30872.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1200.0,0.28125,2.2711659160753094E-9,1200.0,70.5,56.540954625810244,-321.4285714285718,41.58415841584158,1200.0,36216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1400.0,0.328125,2.71150687088569E-9,1400.0,85.0,80.13047653740438,-130.769230769231,77.77777777777776,1400.0,36312.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1600.0,0.34375,2.8577374501360788E-9,1600.0,67.0,50.64498037016265,-340.0000000000002,48.83720930232559,1600.0,36176.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1800.0,0.375,3.1505866597096124E-9,1800.0,83.5,65.69289946979934,-266.6666666666664,67.96116504854368,1800.0,36224.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.390625,3.298983857449558E-9,2000.0,77.5,64.89311905133405,-246.1538461538464,55.00000000000001,2000.0,36712.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2200.0,0.40625,3.4461845643818377E-9,2200.0,71.5,56.89003176523975,-338.46153846153885,38.709677419354826,2200.0,36416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2400.0,0.4375,3.742332208073801E-9,2400.0,90.5,87.92730969627654,-72.72727272727253,86.02941176470588,2400.0,36632.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2600.0,0.453125,3.890535380277369E-9,2600.0,82.0,75.53849289936808,-140.00000000000023,72.51908396946564,2600.0,36664.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2800.0,0.484375,4.187071075042089E-9,2800.0,79.0,68.98308839819806,-366.6666666666662,67.18750000000001,2800.0,36680.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.5,4.335403597603242E-9,3000.0,85.0,80.34462425473366,-274.9999999999997,83.24022346368714,3000.0,36696.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3200.0,0.515625,4.4834774194492234E-9,3200.0,74.5,60.52784334971556,-218.75000000000017,67.0967741935484,3200.0,36632.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3400.0,0.53125,4.631809942010376E-9,3400.0,70.5,59.214710355315916,-247.05882352941194,52.41935483870967,3400.0,36696.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3600.0,0.546875,4.780627528412475E-9,3600.0,38.5,21.239674713453287,-623.5294117647062,-21.78217821782178,3600.0,36816.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3800.0,0.5625,4.9296391403509515E-9,3800.0,78.5,67.62048192771086,-207.14285714285728,61.946902654867266,3800.0,36864.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.5625,4.9296391403509515E-9,4000.0,88.5,82.26608581672386,-228.57142857142824,80.34188034188035,4000.0,37064.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4200.0,0.59375,5.229925995485651E-9,4200.0,76.5,69.60093137571955,-261.53846153846183,69.87179487179488,4200.0,37144.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4400.0,0.609375,5.380295786178775E-9,4400.0,78.5,71.56366762556625,-186.6666666666668,69.50354609929079,4400.0,37200.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4600.0,0.625,5.530148175441557E-9,4600.0,49.5,30.753145246991874,-461.1111111111113,32.21476510067114,4600.0,37072.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4800.0,0.640625,5.680194590240717E-9,4800.0,71.0,56.22311117820213,-241.17647058823545,47.27272727272726,4800.0,37120.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.65625,5.830370355397463E-9,5000.0,77.0,47.24770642201836,-2199.9999999999977,23.33333333333335,5000.0,37152.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5200.0,0.671875,5.981289885110326E-9,5200.0,73.0,61.125908861852984,-260.0000000000002,59.398496240601496,5200.0,37336.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5400.0,0.703125,6.283387645251222E-9,5400.0,79.5,67.5594413894054,-192.857142857143,69.8529411764706,5400.0,37368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
